# Version 1.00
#
freq[Hz],db:Trc1_S21,ang:Trc1_S21,
1.000000000000000E+007,-7.459039661111823E-002,-7.004124651398624E+001,
9.995000000000000E+007,-7.574842414121573E-001,1.211362950935776E+001,
1.899000000000000E+008,-9.801235348246113E-001,9.787304455161933E+001,
2.798500000000000E+008,-1.196177778183301E+000,-1.763803272123903E+002,
3.698000000000000E+008,-1.357302618258280E+000,-9.024540882782846E+001,
4.597500000000000E+008,-1.520566448095737E+000,-4.069552961057989E+000,
5.497000000000000E+008,-1.675931067064812E+000,8.224076647263230E+001,
6.396500000000000E+008,-1.829708424025381E+000,1.687280679657416E+002,
7.296000000000000E+008,-1.949089302608788E+000,-1.048024781676049E+002,
8.195500000000000E+008,-2.094613056692386E+000,-1.811942697586310E+001,
9.095000000000000E+008,-2.215096788001904E+000,6.822803606936591E+001,
9.994500000000000E+008,-2.326813191102603E+000,1.549226747293627E+002,
1.089400000000000E+009,-2.461144396153277E+000,-1.182796829017597E+002,
1.179350000000000E+009,-2.576320372985049E+000,-3.171499854913702E+001,
1.269300000000000E+009,-2.663407794098943E+000,5.507007594817797E+001,
1.359250000000000E+009,-2.806006676209708E+000,1.419269504320975E+002,
1.449200000000000E+009,-2.889103884110638E+000,-1.315544404438393E+002,
1.539150000000000E+009,-2.969620118105219E+000,-4.446589597222452E+001,
1.629100000000000E+009,-3.076335799761853E+000,4.232639304910347E+001,
1.719050000000000E+009,-3.192462727031192E+000,1.289915369244613E+002,
1.809000000000000E+009,-3.252203699721353E+000,-1.438770781941446E+002,
1.898950000000000E+009,-3.385038733315990E+000,-5.688789831794593E+001,
1.988900000000000E+009,-3.449341987266501E+000,2.951230058726456E+001,
2.078850000000000E+009,-3.511822222615394E+000,1.166741586414684E+002,
2.168800000000000E+009,-3.638228626689483E+000,-1.563885526532110E+002,
2.258750000000000E+009,-3.713351441755321E+000,-6.969535257227379E+001,
2.348700000000000E+009,-3.782680218251096E+000,1.743209442832014E+001,
2.438650000000000E+009,-3.880058711663236E+000,1.042324118864533E+002,
2.528600000000000E+009,-3.942689692800074E+000,-1.689415869372816E+002,
2.618550000000000E+009,-4.035801311889488E+000,-8.138531366724858E+001,
2.708500000000000E+009,-4.157304509302972E+000,4.866398977706834E+000,
2.798450000000000E+009,-4.192539235174318E+000,9.175252812969507E+001,
2.888400000000000E+009,-4.320016223596838E+000,1.788330139503778E+002,
2.978350000000000E+009,-4.421922339699639E+000,-9.446252816267867E+001,
3.068300000000000E+009,-4.451185453263763E+000,-7.376741277679746E+000,
3.158250000000000E+009,-4.596434801491055E+000,7.994726210321373E+001,
3.248200000000000E+009,-4.692473776948446E+000,1.664877511459941E+002,
3.338150000000000E+009,-4.712711107567200E+000,-1.064467448889102E+002,
3.428100000000000E+009,-4.794914252616514E+000,-1.924393871025383E+001,
3.518050000000000E+009,-4.909370216304583E+000,6.755412491438257E+001,
3.608000000000000E+009,-4.942839511962468E+000,1.545269995636770E+002,
3.697950000000000E+009,-5.041796542944231E+000,-1.182714067853297E+002,
3.787900000000000E+009,-5.118557817210777E+000,-3.171724319367714E+001,
