FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.27, -71.04] [-0.07, -70.04] [0.13, -69.04]
9.995000e+07 [-0.96, 11.11] [-0.76, 12.11] [-0.56, 13.11]
1.899000e+08 [-1.18, 96.87] [-0.98, 97.87] [-0.78, 98.87]
2.798500e+08 [-1.40, -177.38] [-1.20, -176.38] [-1.00, -175.38]
3.698000e+08 [-1.56, -91.25] [-1.36, -90.25] [-1.16, -89.25]
4.597500e+08 [-1.72, -5.07] [-1.52, -4.07] [-1.32, -3.07]
5.497000e+08 [-1.88, 81.24] [-1.68, 82.24] [-1.48, 83.24]
6.396500e+08 [-2.03, 167.73] [-1.83, 168.73] [-1.63, 169.73]
7.296000e+08 [-2.15, -105.80] [-1.95, -104.80] [-1.75, -103.80]
8.195500e+08 [-2.29, -19.12] [-2.09, -18.12] [-1.89, -17.12]
9.095000e+08 [-2.42, 67.23] [-2.22, 68.23] [-2.02, 69.23]
9.994500e+08 [-2.53, 153.92] [-2.33, 154.92] [-2.13, 155.92]
1.089400e+09 [-2.66, -119.28] [-2.46, -118.28] [-2.26, -117.28]
1.179350e+09 [-2.78, -32.71] [-2.58, -31.71] [-2.38, -30.71]
1.269300e+09 [-2.86, 54.07] [-2.66, 55.07] [-2.46, 56.07]
1.359250e+09 [-3.01, 140.93] [-2.81, 141.93] [-2.61, 142.93]
1.449200e+09 [-3.09, -132.55] [-2.89, -131.55] [-2.69, -130.55]
1.539150e+09 [-3.17, -45.47] [-2.97, -44.47] [-2.77, -43.47]
1.629100e+09 [-3.28, 41.33] [-3.08, 42.33] [-2.88, 43.33]
1.719050e+09 [-3.39, 127.99] [-3.19, 128.99] [-2.99, 129.99]
1.809000e+09 [-3.45, -144.88] [-3.25, -143.88] [-3.05, -142.88]
1.898950e+09 [-3.59, -57.89] [-3.39, -56.89] [-3.19, -55.89]
1.988900e+09 [-3.65, 28.51] [-3.45, 29.51] [-3.25, 30.51]
2.078850e+09 [-3.71, 115.67] [-3.51, 116.67] [-3.31, 117.67]
2.168800e+09 [-3.84, -157.39] [-3.64, -156.39] [-3.44, -155.39]
2.258750e+09 [-3.91, -70.70] [-3.71, -69.70] [-3.51, -68.70]
2.348700e+09 [-3.98, 16.43] [-3.78, 17.43] [-3.58, 18.43]
2.438650e+09 [-4.08, 103.23] [-3.88, 104.23] [-3.68, 105.23]
2.528600e+09 [-4.14, -169.94] [-3.94, -168.94] [-3.74, -167.94]
2.618550e+09 [-4.24, -82.39] [-4.04, -81.39] [-3.84, -80.39]
2.708500e+09 [-4.36, 3.87] [-4.16, 4.87] [-3.96, 5.87]
2.798450e+09 [-4.39, 90.75] [-4.19, 91.75] [-3.99, 92.75]
2.888400e+09 [-4.52, 177.83] [-4.32, 178.83] [-4.12, 179.83]
2.978350e+09 [-4.62, -95.46] [-4.42, -94.46] [-4.22, -93.46]
3.068300e+09 [-4.65, -8.38] [-4.45, -7.38] [-4.25, -6.38]
3.158250e+09 [-4.80, 78.95] [-4.60, 79.95] [-4.40, 80.95]
3.248200e+09 [-4.89, 165.49] [-4.69, 166.49] [-4.49, 167.49]
3.338150e+09 [-4.91, -107.45] [-4.71, -106.45] [-4.51, -105.45]
