FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.47, -54.53] [-0.27, -53.53] [-0.07, -52.53]
1.038189e+07 [-0.64, -61.01] [-0.44, -60.01] [-0.24, -59.01]
1.077836e+07 [-0.54, -55.33] [-0.34, -54.33] [-0.14, -53.33]
1.118997e+07 [0.00, -62.13] [0.20, -61.13] [0.40, -60.13]
1.161731e+07 [0.03, -67.11] [0.23, -66.11] [0.43, -65.11]
1.206096e+07 [-0.43, -65.89] [-0.23, -64.89] [-0.03, -63.89]
1.252155e+07 [-0.11, -67.38] [0.09, -66.38] [0.29, -65.38]
1.299974e+07 [-0.22, -73.25] [-0.02, -72.25] [0.18, -71.25]
1.349618e+07 [-0.47, -72.28] [-0.27, -71.28] [-0.07, -70.28]
1.401158e+07 [-0.28, -77.15] [-0.08, -76.15] [0.12, -75.15]
1.454667e+07 [-0.14, -79.14] [0.06, -78.14] [0.26, -77.14]
1.510219e+07 [-0.25, -84.15] [-0.05, -83.15] [0.15, -82.15]
1.567893e+07 [-0.15, -85.66] [0.05, -84.66] [0.25, -83.66]
1.627769e+07 [-0.40, -90.66] [-0.20, -89.66] [0.00, -88.66]
1.689931e+07 [-0.35, -92.27] [-0.15, -91.27] [0.05, -90.27]
1.754468e+07 [-0.35, -96.55] [-0.15, -95.55] [0.05, -94.55]
1.821469e+07 [-0.00, -99.53] [0.20, -98.53] [0.40, -97.53]
1.891029e+07 [-0.66, -103.86] [-0.46, -102.86] [-0.26, -101.86]
1.963245e+07 [-0.47, -106.24] [-0.27, -105.24] [-0.07, -104.24]
2.038219e+07 [-0.48, -111.76] [-0.28, -110.76] [-0.08, -109.76]
2.116056e+07 [-0.46, -118.40] [-0.26, -117.40] [-0.06, -116.40]
2.196866e+07 [-0.41, -120.10] [-0.21, -119.10] [-0.01, -118.10]
2.280762e+07 [-0.48, -123.79] [-0.28, -122.79] [-0.08, -121.79]
2.367862e+07 [-0.47, -129.50] [-0.27, -128.50] [-0.07, -127.50]
2.458288e+07 [-0.39, -134.74] [-0.19, -133.74] [0.01, -132.74]
2.552167e+07 [-0.55, -138.74] [-0.35, -137.74] [-0.15, -136.74]
2.649631e+07 [-0.60, -144.50] [-0.40, -143.50] [-0.20, -142.50]
2.750818e+07 [-0.33, -150.14] [-0.13, -149.14] [0.07, -148.14]
2.855868e+07 [-0.38, -155.82] [-0.18, -154.82] [0.02, -153.82]
2.964930e+07 [-0.37, -162.51] [-0.17, -161.51] [0.03, -160.51]
3.078158e+07 [-0.34, -168.52] [-0.14, -167.52] [0.06, -166.52]
3.195709e+07 [-0.54, -172.97] [-0.34, -171.97] [-0.14, -170.97]
3.317750e+07 [-0.26, -180.64] [-0.06, -179.64] [0.14, -178.64]
3.444451e+07 [-0.36, 173.79] [-0.16, 174.79] [0.04, 175.79]
3.575990e+07 [-0.36, 164.73] [-0.16, 165.73] [0.04, 166.73]
3.712553e+07 [-0.43, 158.07] [-0.23, 159.07] [-0.03, 160.07]
3.854331e+07 [-0.50, 150.52] [-0.30, 151.52] [-0.10, 152.52]
4.001524e+07 [-0.40, 143.46] [-0.20, 144.46] [0.00, 145.46]
4.154338e+07 [-0.41, 134.54] [-0.21, 135.54] [-0.01, 136.54]
4.312987e+07 [-0.45, 125.34] [-0.25, 126.34] [-0.05, 127.34]
4.477695e+07 [-0.55, 117.34] [-0.35, 118.34] [-0.15, 119.34]
4.648693e+07 [-0.36, 107.17] [-0.16, 108.17] [0.04, 109.17]
4.826221e+07 [-0.39, 98.44] [-0.19, 99.44] [0.01, 100.44]
5.010529e+07 [-0.49, 88.48] [-0.29, 89.48] [-0.09, 90.48]
5.201875e+07 [-0.44, 78.04] [-0.24, 79.04] [-0.04, 80.04]
5.400529e+07 [-0.45, 67.19] [-0.25, 68.19] [-0.05, 69.19]
5.606769e+07 [-0.47, 56.06] [-0.27, 57.06] [-0.07, 58.06]
5.820885e+07 [-0.45, 44.67] [-0.25, 45.67] [-0.05, 46.67]
6.043178e+07 [-0.50, 32.73] [-0.30, 33.73] [-0.10, 34.73]
6.273960e+07 [-0.52, 20.31] [-0.32, 21.31] [-0.12, 22.31]
6.513556e+07 [-0.51, 7.14] [-0.31, 8.14] [-0.11, 9.14]
6.762301e+07 [-0.50, -6.22] [-0.30, -5.22] [-0.10, -4.22]
7.020545e+07 [-0.52, -20.10] [-0.32, -19.10] [-0.12, -18.10]
7.288652e+07 [-0.49, -34.31] [-0.29, -33.31] [-0.09, -32.31]
7.566997e+07 [-0.55, -49.57] [-0.35, -48.57] [-0.15, -47.57]
7.855972e+07 [-0.55, -64.42] [-0.35, -63.42] [-0.15, -62.42]
8.155983e+07 [-0.52, -81.35] [-0.32, -80.35] [-0.12, -79.35]
8.467450e+07 [-0.53, -98.05] [-0.33, -97.05] [-0.13, -96.05]
8.790813e+07 [-0.61, -115.48] [-0.41, -114.48] [-0.21, -113.48]
9.126524e+07 [-0.57, -133.33] [-0.37, -132.33] [-0.17, -131.33]
9.475055e+07 [-0.60, -151.97] [-0.40, -150.97] [-0.20, -149.97]
9.836897e+07 [-0.63, -172.11] [-0.43, -171.11] [-0.23, -170.11]
1.021256e+08 [-0.58, 167.94] [-0.38, 168.94] [-0.18, 169.94]
1.060256e+08 [-0.60, 147.21] [-0.40, 148.21] [-0.20, 149.21]
1.100746e+08 [-0.61, 125.07] [-0.41, 126.07] [-0.21, 127.07]
1.142782e+08 [-0.61, 102.51] [-0.41, 103.51] [-0.21, 104.51]
1.186424e+08 [-0.64, 78.78] [-0.44, 79.78] [-0.24, 80.78]
1.231732e+08 [-0.61, 54.86] [-0.41, 55.86] [-0.21, 56.86]
1.278771e+08 [-0.61, 29.35] [-0.41, 30.35] [-0.21, 31.35]
1.327605e+08 [-0.63, 3.30] [-0.43, 4.30] [-0.23, 5.30]
1.378305e+08 [-0.63, -23.95] [-0.43, -22.95] [-0.23, -21.95]
1.430941e+08 [-0.66, -52.57] [-0.46, -51.57] [-0.26, -50.57]
1.485587e+08 [-0.65, -81.88] [-0.45, -80.88] [-0.25, -79.88]
1.542320e+08 [-0.69, -112.39] [-0.49, -111.39] [-0.29, -110.39]
1.601219e+08 [-0.65, -143.89] [-0.45, -142.89] [-0.25, -141.89]
1.662368e+08 [-0.68, -177.06] [-0.48, -176.06] [-0.28, -175.06]
1.725852e+08 [-0.71, 148.81] [-0.51, 149.81] [-0.31, 150.81]
1.791760e+08 [-0.70, 113.60] [-0.50, 114.60] [-0.30, 115.60]
1.860186e+08 [-0.73, 76.64] [-0.53, 77.64] [-0.33, 78.64]
1.931224e+08 [-0.71, 38.43] [-0.51, 39.43] [-0.31, 40.43]
2.004975e+08 [-0.74, -1.38] [-0.54, -0.38] [-0.34, 0.62]
2.081543e+08 [-0.74, -42.46] [-0.54, -41.46] [-0.34, -40.46]
2.161035e+08 [-0.75, -85.31] [-0.55, -84.31] [-0.35, -83.31]
2.243562e+08 [-0.76, -129.49] [-0.56, -128.49] [-0.36, -127.49]
2.329241e+08 [-0.78, -175.71] [-0.58, -174.71] [-0.38, -173.71]
2.418192e+08 [-0.79, 136.46] [-0.59, 137.46] [-0.39, 138.46]
2.510540e+08 [-0.83, 86.79] [-0.63, 87.79] [-0.43, 88.79]
2.606415e+08 [-0.82, 35.23] [-0.62, 36.23] [-0.42, 37.23]
2.705951e+08 [-0.86, -18.24] [-0.66, -17.24] [-0.46, -16.24]
2.809288e+08 [-0.86, -73.82] [-0.66, -72.82] [-0.46, -71.82]
2.916571e+08 [-0.89, -131.57] [-0.69, -130.57] [-0.49, -129.57]
3.027952e+08 [-0.90, 168.57] [-0.70, 169.57] [-0.50, 170.57]
3.143586e+08 [-0.89, 106.49] [-0.69, 107.49] [-0.49, 108.49]
3.263636e+08 [-0.91, 41.89] [-0.71, 42.89] [-0.51, 43.89]
3.388271e+08 [-0.91, -25.15] [-0.71, -24.15] [-0.51, -23.15]
3.517665e+08 [-0.94, -94.75] [-0.74, -93.75] [-0.54, -92.75]
3.652000e+08 [-0.97, -166.87] [-0.77, -165.87] [-0.57, -164.87]
3.791466e+08 [-0.97, 118.12] [-0.77, 119.12] [-0.57, 120.12]
3.936258e+08 [-0.99, 40.29] [-0.79, 41.29] [-0.59, 42.29]
4.086579e+08 [-1.01, -40.42] [-0.81, -39.42] [-0.61, -38.42]
4.242641e+08 [-1.02, -124.33] [-0.82, -123.33] [-0.62, -122.33]
4.404662e+08 [-1.04, 148.50] [-0.84, 149.50] [-0.64, 150.50]
4.572871e+08 [-1.06, 58.08] [-0.86, 59.08] [-0.66, 60.08]
4.747504e+08 [-1.08, -35.74] [-0.88, -34.74] [-0.68, -33.74]
4.928806e+08 [-1.09, -133.20] [-0.89, -132.20] [-0.69, -131.20]
5.117031e+08 [-1.10, 125.67] [-0.90, 126.67] [-0.70, 127.67]
5.312445e+08 [-1.12, 20.71] [-0.92, 21.71] [-0.72, 22.71]
5.515321e+08 [-1.15, -88.50] [-0.95, -87.50] [-0.75, -86.50]
5.725945e+08 [-1.17, 158.40] [-0.97, 159.40] [-0.77, 160.40]
5.944612e+08 [-1.20, 40.85] [-1.00, 41.85] [-0.80, 42.85]
6.171630e+08 [-1.20, -81.08] [-1.00, -80.08] [-0.80, -79.08]
6.407317e+08 [-1.22, 152.23] [-1.02, 153.23] [-0.82, 154.23]
6.652006e+08 [-1.24, 20.76] [-1.04, 21.76] [-0.84, 22.76]
6.906038e+08 [-1.26, -115.77] [-1.06, -114.77] [-0.86, -113.77]
7.169772e+08 [-1.29, 102.49] [-1.09, 103.49] [-0.89, 104.49]
7.443577e+08 [-1.30, -44.68] [-1.10, -43.68] [-0.90, -42.68]
7.727839e+08 [-1.33, 162.61] [-1.13, 163.61] [-0.93, 164.61]
8.022956e+08 [-1.35, 3.98] [-1.15, 4.98] [-0.95, 5.98]
8.329344e+08 [-1.37, -160.62] [-1.17, -159.62] [-0.97, -158.62]
8.647432e+08 [-1.40, 28.45] [-1.20, 29.45] [-1.00, 30.45]
8.977667e+08 [-1.42, -149.03] [-1.22, -148.03] [-1.02, -147.03]
9.320514e+08 [-1.44, 26.85] [-1.24, 27.85] [-1.04, 28.85]
9.676454e+08 [-1.47, -164.48] [-1.27, -163.48] [-1.07, -162.48]
1.004599e+09 [-1.51, -3.02] [-1.31, -2.02] [-1.11, -1.02]
1.042963e+09 [-1.52, 150.92] [-1.32, 151.92] [-1.12, 152.92]
1.082793e+09 [-1.55, -63.13] [-1.35, -62.13] [-1.15, -61.13]
1.124143e+09 [-1.57, 74.71] [-1.37, 75.71] [-1.17, 76.71]
1.167073e+09 [-1.60, -155.88] [-1.40, -154.88] [-1.20, -153.88]
1.211642e+09 [-1.64, -35.38] [-1.44, -34.38] [-1.24, -33.38]
