FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.21, -60.85] [-0.01, -59.85] [0.19, -58.85]
1.038189e+07 [-0.06, -62.24] [0.14, -61.24] [0.34, -60.24]
1.077836e+07 [-0.25, -66.80] [-0.05, -65.80] [0.15, -64.80]
1.118997e+07 [-0.36, -65.74] [-0.16, -64.74] [0.04, -63.74]
1.161731e+07 [-0.67, -68.45] [-0.47, -67.45] [-0.27, -66.45]
1.206096e+07 [-0.47, -71.19] [-0.27, -70.19] [-0.07, -69.19]
1.252155e+07 [-0.03, -75.62] [0.17, -74.62] [0.37, -73.62]
1.299974e+07 [-0.21, -81.09] [-0.01, -80.09] [0.19, -79.09]
1.349618e+07 [-0.01, -82.60] [0.19, -81.60] [0.39, -80.60]
1.401158e+07 [-0.34, -84.23] [-0.14, -83.23] [0.06, -82.23]
1.454667e+07 [-0.20, -86.26] [-0.00, -85.26] [0.20, -84.26]
1.510219e+07 [-0.45, -91.25] [-0.25, -90.25] [-0.05, -89.25]
1.567893e+07 [-0.57, -95.33] [-0.37, -94.33] [-0.17, -93.33]
1.627769e+07 [-0.39, -94.87] [-0.19, -93.87] [0.01, -92.87]
1.689931e+07 [-0.29, -100.08] [-0.09, -99.08] [0.11, -98.08]
1.754468e+07 [-0.37, -106.64] [-0.17, -105.64] [0.03, -104.64]
1.821469e+07 [-0.30, -106.91] [-0.10, -105.91] [0.10, -104.91]
1.891029e+07 [-0.46, -112.30] [-0.26, -111.30] [-0.06, -110.30]
1.963245e+07 [-0.39, -117.70] [-0.19, -116.70] [0.01, -115.70]
2.038219e+07 [-0.26, -123.18] [-0.06, -122.18] [0.14, -121.18]
2.116056e+07 [-0.30, -126.58] [-0.10, -125.58] [0.10, -124.58]
2.196866e+07 [-0.17, -131.52] [0.03, -130.52] [0.23, -129.52]
2.280762e+07 [-0.65, -137.89] [-0.45, -136.89] [-0.25, -135.89]
2.367862e+07 [-0.28, -141.22] [-0.08, -140.22] [0.12, -139.22]
2.458288e+07 [-0.34, -146.58] [-0.14, -145.58] [0.06, -144.58]
2.552167e+07 [-0.48, -153.40] [-0.28, -152.40] [-0.08, -151.40]
2.649631e+07 [-0.39, -157.49] [-0.19, -156.49] [0.01, -155.49]
2.750818e+07 [-0.43, -163.96] [-0.23, -162.96] [-0.03, -161.96]
2.855868e+07 [-0.29, -171.01] [-0.09, -170.01] [0.11, -169.01]
