FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.29, -69.25] [-0.09, -68.25] [0.11, -67.25]
1.038189e+07 [-0.06, -71.05] [0.14, -70.05] [0.34, -69.05]
1.077836e+07 [-0.30, -75.84] [-0.10, -74.84] [0.10, -73.84]
1.118997e+07 [-0.42, -75.34] [-0.22, -74.34] [-0.02, -73.34]
1.161731e+07 [-0.68, -78.58] [-0.48, -77.58] [-0.28, -76.58]
1.206096e+07 [-0.59, -81.61] [-0.39, -80.61] [-0.19, -79.61]
1.252155e+07 [-0.07, -86.79] [0.13, -85.79] [0.33, -84.79]
1.299974e+07 [-0.26, -92.27] [-0.06, -91.27] [0.14, -90.27]
1.349618e+07 [-0.11, -93.80] [0.09, -92.80] [0.29, -91.80]
1.401158e+07 [-0.49, -95.90] [-0.29, -94.90] [-0.09, -93.90]
1.454667e+07 [-0.25, -98.54] [-0.05, -97.54] [0.15, -96.54]
1.510219e+07 [-0.47, -104.24] [-0.27, -103.24] [-0.07, -102.24]
1.567893e+07 [-0.57, -108.45] [-0.37, -107.45] [-0.17, -106.45]
1.627769e+07 [-0.47, -108.55] [-0.27, -107.55] [-0.07, -106.55]
1.689931e+07 [-0.37, -114.55] [-0.17, -113.55] [0.03, -112.55]
1.754468e+07 [-0.37, -121.55] [-0.17, -120.55] [0.03, -119.55]
1.821469e+07 [-0.30, -122.61] [-0.10, -121.61] [0.10, -120.61]
1.891029e+07 [-0.52, -128.28] [-0.32, -127.28] [-0.12, -126.28]
1.963245e+07 [-0.44, -134.32] [-0.24, -133.32] [-0.04, -132.32]
2.038219e+07 [-0.28, -140.60] [-0.08, -139.60] [0.12, -138.60]
2.116056e+07 [-0.36, -144.74] [-0.16, -143.74] [0.04, -142.74]
2.196866e+07 [-0.18, -150.35] [0.02, -149.35] [0.22, -148.35]
2.280762e+07 [-0.69, -157.25] [-0.49, -156.25] [-0.29, -155.25]
2.367862e+07 [-0.29, -161.33] [-0.09, -160.33] [0.11, -159.33]
2.458288e+07 [-0.37, -167.66] [-0.17, -166.66] [0.03, -165.66]
2.552167e+07 [-0.48, -175.01] [-0.28, -174.01] [-0.08, -173.01]
2.649631e+07 [-0.45, -180.31] [-0.25, -179.31] [-0.05, -178.31]
