FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.34, -39.61] [-0.14, -38.61] [0.06, -37.61]
1.038189e+07 [-0.31, -40.96] [-0.11, -39.96] [0.09, -38.96]
1.077836e+07 [-0.30, -40.96] [-0.10, -39.96] [0.10, -38.96]
1.118997e+07 [-0.51, -44.35] [-0.31, -43.35] [-0.11, -42.35]
1.161731e+07 [-0.34, -44.44] [-0.14, -43.44] [0.06, -42.44]
1.206096e+07 [-0.31, -46.68] [-0.11, -45.68] [0.09, -44.68]
1.252155e+07 [-0.31, -48.86] [-0.11, -47.86] [0.09, -46.86]
1.299974e+07 [-0.33, -50.03] [-0.13, -49.03] [0.07, -48.03]
1.349618e+07 [-0.25, -52.23] [-0.05, -51.23] [0.15, -50.23]
1.401158e+07 [-0.22, -54.26] [-0.02, -53.26] [0.18, -52.26]
1.454667e+07 [-0.40, -56.54] [-0.20, -55.54] [0.00, -54.54]
1.510219e+07 [-0.44, -57.50] [-0.24, -56.50] [-0.04, -55.50]
1.567893e+07 [-0.30, -60.72] [-0.10, -59.72] [0.10, -58.72]
1.627769e+07 [-0.33, -62.53] [-0.13, -61.53] [0.07, -60.53]
1.689931e+07 [-0.24, -64.74] [-0.04, -63.74] [0.16, -62.74]
1.754468e+07 [-0.25, -67.32] [-0.05, -66.32] [0.15, -65.32]
1.821469e+07 [-0.36, -69.52] [-0.16, -68.52] [0.04, -67.52]
1.891029e+07 [-0.35, -72.40] [-0.15, -71.40] [0.05, -70.40]
1.963245e+07 [-0.36, -75.68] [-0.16, -74.68] [0.04, -73.68]
2.038219e+07 [-0.34, -78.17] [-0.14, -77.17] [0.06, -76.17]
2.116056e+07 [-0.35, -80.71] [-0.15, -79.71] [0.05, -78.71]
2.196866e+07 [-0.35, -84.29] [-0.15, -83.29] [0.05, -82.29]
2.280762e+07 [-0.32, -86.96] [-0.12, -85.96] [0.08, -84.96]
2.367862e+07 [-0.32, -90.70] [-0.12, -89.70] [0.08, -88.70]
2.458288e+07 [-0.30, -93.96] [-0.10, -92.96] [0.10, -91.96]
2.552167e+07 [-0.31, -97.37] [-0.11, -96.37] [0.09, -95.37]
2.649631e+07 [-0.33, -101.24] [-0.13, -100.24] [0.07, -99.24]
2.750818e+07 [-0.34, -104.83] [-0.14, -103.83] [0.06, -102.83]
2.855868e+07 [-0.32, -108.84] [-0.12, -107.84] [0.08, -106.84]
2.964930e+07 [-0.30, -113.34] [-0.10, -112.34] [0.10, -111.34]
3.078158e+07 [-0.34, -117.06] [-0.14, -116.06] [0.06, -115.06]
3.195709e+07 [-0.34, -121.64] [-0.14, -120.64] [0.06, -119.64]
3.317750e+07 [-0.35, -126.40] [-0.15, -125.40] [0.05, -124.40]
3.444451e+07 [-0.36, -131.17] [-0.16, -130.17] [0.04, -129.17]
3.575990e+07 [-0.36, -135.91] [-0.16, -134.91] [0.04, -133.91]
3.712553e+07 [-0.36, -141.18] [-0.16, -140.18] [0.04, -139.18]
3.854331e+07 [-0.38, -146.40] [-0.18, -145.40] [0.02, -144.40]
4.001524e+07 [-0.40, -152.11] [-0.20, -151.11] [-0.00, -150.11]
4.154338e+07 [-0.37, -157.53] [-0.17, -156.53] [0.03, -155.53]
4.312987e+07 [-0.37, -163.69] [-0.17, -162.69] [0.03, -161.69]
4.477695e+07 [-0.35, -169.74] [-0.15, -168.74] [0.05, -167.74]
4.648693e+07 [-0.37, -176.50] [-0.17, -175.50] [0.03, -174.50]
4.826221e+07 [-0.35, 176.86] [-0.15, 177.86] [0.05, 178.86]
5.010529e+07 [-0.38, 169.96] [-0.18, 170.96] [0.02, 171.96]
5.201875e+07 [-0.40, 162.67] [-0.20, 163.67] [-0.00, 164.67]
5.400529e+07 [-0.38, 155.38] [-0.18, 156.38] [0.02, 157.38]
5.606769e+07 [-0.39, 147.59] [-0.19, 148.59] [0.01, 149.59]
5.820885e+07 [-0.41, 139.57] [-0.21, 140.57] [-0.01, 141.57]
6.043178e+07 [-0.36, 131.04] [-0.16, 132.04] [0.04, 133.04]
6.273960e+07 [-0.42, 122.30] [-0.22, 123.30] [-0.02, 124.30]
6.513556e+07 [-0.43, 113.34] [-0.23, 114.34] [-0.03, 115.34]
6.762301e+07 [-0.43, 104.04] [-0.23, 105.04] [-0.03, 106.04]
7.020545e+07 [-0.43, 94.50] [-0.23, 95.50] [-0.03, 96.50]
7.288652e+07 [-0.42, 84.29] [-0.22, 85.29] [-0.02, 86.29]
7.566997e+07 [-0.40, 73.91] [-0.20, 74.91] [-0.00, 75.91]
7.855972e+07 [-0.46, 62.96] [-0.26, 63.96] [-0.06, 64.96]
8.155983e+07 [-0.44, 51.68] [-0.24, 52.68] [-0.04, 53.68]
8.467450e+07 [-0.44, 39.87] [-0.24, 40.87] [-0.04, 41.87]
8.790813e+07 [-0.44, 27.80] [-0.24, 28.80] [-0.04, 29.80]
9.126524e+07 [-0.45, 15.21] [-0.25, 16.21] [-0.05, 17.21]
9.475055e+07 [-0.44, 2.12] [-0.24, 3.12] [-0.04, 4.12]
9.836897e+07 [-0.44, -11.51] [-0.24, -10.51] [-0.04, -9.51]
1.021256e+08 [-0.46, -25.51] [-0.26, -24.51] [-0.06, -23.51]
1.060256e+08 [-0.46, -40.31] [-0.26, -39.31] [-0.06, -38.31]
1.100746e+08 [-0.47, -55.56] [-0.27, -54.56] [-0.07, -53.56]
1.142782e+08 [-0.48, -71.33] [-0.28, -70.33] [-0.08, -69.33]
1.186424e+08 [-0.48, -87.63] [-0.28, -86.63] [-0.08, -85.63]
1.231732e+08 [-0.49, -104.66] [-0.29, -103.66] [-0.09, -102.66]
1.278771e+08 [-0.48, -122.39] [-0.28, -121.39] [-0.08, -120.39]
1.327605e+08 [-0.49, -140.79] [-0.29, -139.79] [-0.09, -138.79]
1.378305e+08 [-0.50, -159.79] [-0.30, -158.79] [-0.10, -157.79]
1.430941e+08 [-0.50, -179.62] [-0.30, -178.62] [-0.10, -177.62]
1.485587e+08 [-0.51, 159.95] [-0.31, 160.95] [-0.11, 161.95]
1.542320e+08 [-0.51, 138.62] [-0.31, 139.62] [-0.11, 140.62]
1.601219e+08 [-0.52, 116.45] [-0.32, 117.45] [-0.12, 118.45]
1.662368e+08 [-0.52, 93.49] [-0.32, 94.49] [-0.12, 95.49]
