FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.20, -55.87] [-0.00, -54.87] [0.20, -53.87]
1.038189e+07 [-0.31, -58.37] [-0.11, -57.37] [0.09, -56.37]
1.077836e+07 [-0.40, -59.20] [-0.20, -58.20] [0.00, -57.20]
1.118997e+07 [-0.74, -61.30] [-0.54, -60.30] [-0.34, -59.30]
1.161731e+07 [-0.44, -64.01] [-0.24, -63.01] [-0.04, -62.01]
1.206096e+07 [-0.40, -67.37] [-0.20, -66.37] [-0.00, -65.37]
1.252155e+07 [-0.39, -69.24] [-0.19, -68.24] [0.01, -67.24]
1.299974e+07 [-0.31, -71.05] [-0.11, -70.05] [0.09, -69.05]
1.349618e+07 [-0.26, -74.80] [-0.06, -73.80] [0.14, -72.80]
1.401158e+07 [-0.24, -77.89] [-0.04, -76.89] [0.16, -75.89]
1.454667e+07 [-0.38, -79.86] [-0.18, -78.86] [0.02, -77.86]
1.510219e+07 [-0.44, -82.06] [-0.24, -81.06] [-0.04, -80.06]
1.567893e+07 [-0.36, -86.71] [-0.16, -85.71] [0.04, -84.71]
1.627769e+07 [-0.40, -89.09] [-0.20, -88.09] [-0.00, -87.09]
1.689931e+07 [-0.20, -92.13] [-0.00, -91.13] [0.20, -90.13]
1.754468e+07 [-0.31, -95.90] [-0.11, -94.90] [0.09, -93.90]
1.821469e+07 [-0.40, -99.57] [-0.20, -98.57] [-0.00, -97.57]
1.891029e+07 [-0.33, -103.21] [-0.13, -102.21] [0.07, -101.21]
1.963245e+07 [-0.33, -107.29] [-0.13, -106.29] [0.07, -105.29]
2.038219e+07 [-0.39, -111.74] [-0.19, -110.74] [0.01, -109.74]
2.116056e+07 [-0.32, -115.88] [-0.12, -114.88] [0.08, -113.88]
2.196866e+07 [-0.41, -120.04] [-0.21, -119.04] [-0.01, -118.04]
2.280762e+07 [-0.34, -124.36] [-0.14, -123.36] [0.06, -122.36]
2.367862e+07 [-0.32, -129.41] [-0.12, -128.41] [0.08, -127.41]
2.458288e+07 [-0.35, -134.35] [-0.15, -133.35] [0.05, -132.35]
2.552167e+07 [-0.32, -138.91] [-0.12, -137.91] [0.08, -136.91]
2.649631e+07 [-0.34, -144.35] [-0.14, -143.35] [0.06, -142.35]
2.750818e+07 [-0.34, -150.44] [-0.14, -149.44] [0.06, -148.44]
2.855868e+07 [-0.35, -155.49] [-0.15, -154.49] [0.05, -153.49]
2.964930e+07 [-0.37, -161.97] [-0.17, -160.97] [0.03, -159.97]
3.078158e+07 [-0.35, -167.45] [-0.15, -166.45] [0.05, -165.45]
3.195709e+07 [-0.43, -174.05] [-0.23, -173.05] [-0.03, -172.05]
3.317750e+07 [-0.44, -180.82] [-0.24, -179.82] [-0.04, -178.82]
3.444451e+07 [-0.38, 172.65] [-0.18, 173.65] [0.02, 174.65]
3.575990e+07 [-0.40, 165.70] [-0.20, 166.70] [0.00, 167.70]
3.712553e+07 [-0.43, 157.86] [-0.23, 158.86] [-0.03, 159.86]
3.854331e+07 [-0.43, 150.37] [-0.23, 151.37] [-0.03, 152.37]
4.001524e+07 [-0.44, 142.26] [-0.24, 143.26] [-0.04, 144.26]
4.154338e+07 [-0.39, 134.43] [-0.19, 135.43] [0.01, 136.43]
4.312987e+07 [-0.41, 125.66] [-0.21, 126.66] [-0.01, 127.66]
4.477695e+07 [-0.39, 117.04] [-0.19, 118.04] [0.01, 119.04]
4.648693e+07 [-0.46, 107.33] [-0.26, 108.33] [-0.06, 109.33]
4.826221e+07 [-0.40, 97.90] [-0.20, 98.90] [0.00, 99.90]
5.010529e+07 [-0.42, 87.86] [-0.22, 88.86] [-0.02, 89.86]
5.201875e+07 [-0.45, 77.46] [-0.25, 78.46] [-0.05, 79.46]
5.400529e+07 [-0.45, 66.93] [-0.25, 67.93] [-0.05, 68.93]
5.606769e+07 [-0.44, 55.81] [-0.24, 56.81] [-0.04, 57.81]
5.820885e+07 [-0.47, 44.26] [-0.27, 45.26] [-0.07, 46.26]
6.043178e+07 [-0.41, 32.13] [-0.21, 33.13] [-0.01, 34.13]
6.273960e+07 [-0.48, 19.53] [-0.28, 20.53] [-0.08, 21.53]
6.513556e+07 [-0.51, 6.77] [-0.31, 7.77] [-0.11, 8.77]
6.762301e+07 [-0.50, -6.59] [-0.30, -5.59] [-0.10, -4.59]
7.020545e+07 [-0.50, -20.41] [-0.30, -19.41] [-0.10, -18.41]
7.288652e+07 [-0.49, -35.00] [-0.29, -34.00] [-0.09, -33.00]
7.566997e+07 [-0.47, -49.79] [-0.27, -48.79] [-0.07, -47.79]
7.855972e+07 [-0.52, -65.54] [-0.32, -64.54] [-0.12, -63.54]
8.155983e+07 [-0.50, -81.78] [-0.30, -80.78] [-0.10, -79.78]
8.467450e+07 [-0.51, -98.57] [-0.31, -97.57] [-0.11, -96.57]
8.790813e+07 [-0.52, -115.97] [-0.32, -114.97] [-0.12, -113.97]
9.126524e+07 [-0.53, -133.98] [-0.33, -132.98] [-0.13, -131.98]
9.475055e+07 [-0.54, -152.77] [-0.34, -151.77] [-0.14, -150.77]
9.836897e+07 [-0.54, -172.36] [-0.34, -171.36] [-0.14, -170.36]
1.021256e+08 [-0.55, 167.53] [-0.35, 168.53] [-0.15, 169.53]
1.060256e+08 [-0.56, 146.18] [-0.36, 147.18] [-0.16, 148.18]
1.100746e+08 [-0.56, 124.41] [-0.36, 125.41] [-0.16, 126.41]
1.142782e+08 [-0.58, 101.83] [-0.38, 102.83] [-0.18, 103.83]
1.186424e+08 [-0.59, 78.33] [-0.39, 79.33] [-0.19, 80.33]
1.231732e+08 [-0.59, 54.05] [-0.39, 55.05] [-0.19, 56.05]
1.278771e+08 [-0.58, 28.59] [-0.38, 29.59] [-0.18, 30.59]
1.327605e+08 [-0.58, 2.34] [-0.38, 3.34] [-0.18, 4.34]
1.378305e+08 [-0.61, -24.99] [-0.41, -23.99] [-0.21, -22.99]
1.430941e+08 [-0.60, -53.37] [-0.40, -52.37] [-0.20, -51.37]
1.485587e+08 [-0.61, -82.82] [-0.41, -81.82] [-0.21, -80.82]
1.542320e+08 [-0.62, -113.35] [-0.42, -112.35] [-0.22, -111.35]
1.601219e+08 [-0.63, -145.17] [-0.43, -144.17] [-0.23, -143.17]
1.662368e+08 [-0.63, -178.16] [-0.43, -177.16] [-0.23, -176.16]
1.725852e+08 [-0.64, 147.59] [-0.44, 148.59] [-0.24, 149.59]
1.791760e+08 [-0.66, 112.14] [-0.46, 113.14] [-0.26, 114.14]
1.860186e+08 [-0.67, 75.32] [-0.47, 76.32] [-0.27, 77.32]
1.931224e+08 [-0.67, 36.95] [-0.47, 37.95] [-0.27, 38.95]
2.004975e+08 [-0.70, -2.76] [-0.50, -1.76] [-0.30, -0.76]
2.081543e+08 [-0.69, -44.05] [-0.49, -43.05] [-0.29, -42.05]
2.161035e+08 [-0.73, -86.75] [-0.53, -85.75] [-0.33, -84.75]
2.243562e+08 [-0.71, -131.23] [-0.51, -130.23] [-0.31, -129.23]
2.329241e+08 [-0.74, -177.49] [-0.54, -176.49] [-0.34, -175.49]
2.418192e+08 [-0.74, 134.58] [-0.54, 135.58] [-0.34, 136.58]
2.510540e+08 [-0.75, 84.87] [-0.55, 85.87] [-0.35, 86.87]
2.606415e+08 [-0.76, 33.27] [-0.56, 34.27] [-0.36, 35.27]
2.705951e+08 [-0.78, -20.37] [-0.58, -19.37] [-0.38, -18.37]
2.809288e+08 [-0.80, -76.06] [-0.60, -75.06] [-0.40, -74.06]
2.916571e+08 [-0.82, -133.77] [-0.62, -132.77] [-0.42, -131.77]
3.027952e+08 [-0.82, 166.28] [-0.62, 167.28] [-0.42, 168.28]
3.143586e+08 [-0.82, 104.03] [-0.62, 105.03] [-0.42, 106.03]
3.263636e+08 [-0.84, 39.32] [-0.64, 40.32] [-0.44, 41.32]
3.388271e+08 [-0.85, -27.83] [-0.65, -26.83] [-0.45, -25.83]
3.517665e+08 [-0.86, -97.47] [-0.66, -96.47] [-0.46, -95.47]
3.652000e+08 [-0.88, -169.86] [-0.68, -168.86] [-0.48, -167.86]
3.791466e+08 [-0.90, 115.08] [-0.70, 116.08] [-0.50, 117.08]
3.936258e+08 [-0.92, 36.99] [-0.72, 37.99] [-0.52, 38.99]
4.086579e+08 [-0.95, -43.94] [-0.75, -42.94] [-0.55, -41.94]
4.242641e+08 [-0.97, -127.84] [-0.77, -126.84] [-0.57, -125.84]
4.404662e+08 [-0.97, 145.08] [-0.77, 146.08] [-0.57, 147.08]
4.572871e+08 [-0.97, 54.42] [-0.77, 55.42] [-0.57, 56.42]
4.747504e+08 [-0.98, -39.71] [-0.78, -38.71] [-0.58, -37.71]
4.928806e+08 [-1.01, -137.35] [-0.81, -136.35] [-0.61, -135.35]
5.117031e+08 [-1.03, 121.39] [-0.83, 122.39] [-0.63, 123.39]
5.312445e+08 [-1.05, 16.19] [-0.85, 17.19] [-0.65, 18.19]
5.515321e+08 [-1.07, -93.04] [-0.87, -92.04] [-0.67, -91.04]
5.725945e+08 [-1.08, 153.61] [-0.88, 154.61] [-0.68, 155.61]
5.944612e+08 [-1.11, 35.83] [-0.91, 36.83] [-0.71, 37.83]
6.171630e+08 [-1.12, -86.36] [-0.92, -85.36] [-0.72, -84.36]
6.407317e+08 [-1.15, 146.73] [-0.95, 147.73] [-0.75, 148.73]
6.652006e+08 [-1.18, 15.04] [-0.98, 16.04] [-0.78, 17.04]
6.906038e+08 [-1.20, -121.71] [-1.00, -120.71] [-0.80, -119.71]
7.169772e+08 [-1.22, 96.34] [-1.02, 97.34] [-0.82, 98.34]
7.443577e+08 [-1.25, -51.04] [-1.05, -50.04] [-0.85, -49.04]
7.727839e+08 [-1.27, 156.01] [-1.07, 157.01] [-0.87, 158.01]
8.022956e+08 [-1.29, -2.80] [-1.09, -1.80] [-0.89, -0.80]
8.329344e+08 [-1.33, -167.78] [-1.13, -166.78] [-0.93, -165.78]
8.647432e+08 [-1.34, 21.02] [-1.14, 22.02] [-0.94, 23.02]
8.977667e+08 [-1.38, -156.72] [-1.18, -155.72] [-0.98, -154.72]
