FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.36, -64.66] [-0.16, -63.66] [0.04, -62.66]
1.038189e+07 [-0.32, -66.85] [-0.12, -65.85] [0.08, -64.85]
1.077836e+07 [-0.32, -67.82] [-0.12, -66.82] [0.08, -65.82]
1.118997e+07 [-0.60, -72.19] [-0.40, -71.19] [-0.20, -70.19]
1.161731e+07 [-0.40, -73.29] [-0.20, -72.29] [-0.00, -71.29]
1.206096e+07 [-0.31, -76.91] [-0.11, -75.91] [0.09, -74.91]
1.252155e+07 [-0.35, -80.14] [-0.15, -79.14] [0.05, -78.14]
1.299974e+07 [-0.38, -82.46] [-0.18, -81.46] [0.02, -80.46]
1.349618e+07 [-0.33, -86.03] [-0.13, -85.03] [0.07, -84.03]
1.401158e+07 [-0.30, -89.29] [-0.10, -88.29] [0.10, -87.29]
1.454667e+07 [-0.43, -92.66] [-0.23, -91.66] [-0.03, -90.66]
1.510219e+07 [-0.52, -95.11] [-0.32, -94.11] [-0.12, -93.11]
1.567893e+07 [-0.38, -99.84] [-0.18, -98.84] [0.02, -97.84]
1.627769e+07 [-0.42, -103.01] [-0.22, -102.01] [-0.02, -101.01]
1.689931e+07 [-0.32, -106.99] [-0.12, -105.99] [0.08, -104.99]
1.754468e+07 [-0.35, -111.17] [-0.15, -110.17] [0.05, -109.17]
1.821469e+07 [-0.42, -115.05] [-0.22, -114.05] [-0.02, -113.05]
1.891029e+07 [-0.40, -119.74] [-0.20, -118.74] [-0.00, -117.74]
1.963245e+07 [-0.43, -124.66] [-0.23, -123.66] [-0.03, -122.66]
2.038219e+07 [-0.40, -129.07] [-0.20, -128.07] [-0.00, -127.07]
2.116056e+07 [-0.42, -133.52] [-0.22, -132.52] [-0.02, -131.52]
2.196866e+07 [-0.44, -138.92] [-0.24, -137.92] [-0.04, -136.92]
2.280762e+07 [-0.40, -143.85] [-0.20, -142.85] [-0.00, -141.85]
2.367862e+07 [-0.39, -149.77] [-0.19, -148.77] [0.01, -147.77]
2.458288e+07 [-0.39, -155.15] [-0.19, -154.15] [0.01, -153.15]
2.552167e+07 [-0.38, -160.97] [-0.18, -159.97] [0.02, -158.97]
