FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.11, -55.41] [0.09, -54.41] [0.29, -53.41]
1.038189e+07 [-0.21, -59.93] [-0.01, -58.93] [0.19, -57.93]
1.077836e+07 [-0.58, -62.78] [-0.38, -61.78] [-0.18, -60.78]
1.118997e+07 [-0.18, -68.56] [0.02, -67.56] [0.22, -66.56]
1.161731e+07 [-0.85, -66.05] [-0.65, -65.05] [-0.45, -64.05]
1.206096e+07 [-0.87, -71.81] [-0.67, -70.81] [-0.47, -69.81]
1.252155e+07 [-0.99, -73.09] [-0.79, -72.09] [-0.59, -71.09]
1.299974e+07 [-0.39, -73.90] [-0.19, -72.90] [0.01, -71.90]
1.349618e+07 [-0.13, -77.73] [0.07, -76.73] [0.27, -75.73]
1.401158e+07 [-1.07, -83.10] [-0.87, -82.10] [-0.67, -81.10]
1.454667e+07 [-0.70, -84.51] [-0.50, -83.51] [-0.30, -82.51]
1.510219e+07 [-0.28, -89.60] [-0.08, -88.60] [0.12, -87.60]
1.567893e+07 [-0.31, -89.97] [-0.11, -88.97] [0.09, -87.97]
1.627769e+07 [-0.41, -92.49] [-0.21, -91.49] [-0.01, -90.49]
1.689931e+07 [-0.08, -95.19] [0.12, -94.19] [0.32, -93.19]
1.754468e+07 [-0.25, -101.80] [-0.05, -100.80] [0.15, -99.80]
1.821469e+07 [-0.03, -105.09] [0.17, -104.09] [0.37, -103.09]
1.891029e+07 [-0.36, -109.51] [-0.16, -108.51] [0.04, -107.51]
1.963245e+07 [-0.47, -113.13] [-0.27, -112.13] [-0.07, -111.13]
2.038219e+07 [-0.36, -117.86] [-0.16, -116.86] [0.04, -115.86]
2.116056e+07 [-0.24, -121.56] [-0.04, -120.56] [0.16, -119.56]
2.196866e+07 [-0.39, -128.38] [-0.19, -127.38] [0.01, -126.38]
2.280762e+07 [-0.66, -131.57] [-0.46, -130.57] [-0.26, -129.57]
2.367862e+07 [-0.46, -137.08] [-0.26, -136.08] [-0.06, -135.08]
2.458288e+07 [-0.22, -141.06] [-0.02, -140.06] [0.18, -139.06]
2.552167e+07 [-0.09, -146.86] [0.11, -145.86] [0.31, -144.86]
2.649631e+07 [-0.49, -153.40] [-0.29, -152.40] [-0.09, -151.40]
2.750818e+07 [-0.46, -158.24] [-0.26, -157.24] [-0.06, -156.24]
2.855868e+07 [-0.38, -165.11] [-0.18, -164.11] [0.02, -163.11]
2.964930e+07 [-0.50, -170.33] [-0.30, -169.33] [-0.10, -168.33]
3.078158e+07 [-0.59, -176.73] [-0.39, -175.73] [-0.19, -174.73]
3.195709e+07 [-0.37, 175.40] [-0.17, 176.40] [0.03, 177.40]
3.317750e+07 [-0.30, 168.65] [-0.10, 169.65] [0.10, 170.65]
3.444451e+07 [-0.40, 162.69] [-0.20, 163.69] [-0.00, 164.69]
3.575990e+07 [-0.25, 155.55] [-0.05, 156.55] [0.15, 157.55]
3.712553e+07 [-0.40, 147.38] [-0.20, 148.38] [-0.00, 149.38]
3.854331e+07 [-0.35, 137.74] [-0.15, 138.74] [0.05, 139.74]
4.001524e+07 [-0.53, 131.01] [-0.33, 132.01] [-0.13, 133.01]
4.154338e+07 [-0.53, 121.43] [-0.33, 122.43] [-0.13, 123.43]
4.312987e+07 [-0.52, 113.56] [-0.32, 114.56] [-0.12, 115.56]
4.477695e+07 [-0.51, 104.33] [-0.31, 105.33] [-0.11, 106.33]
4.648693e+07 [-0.40, 93.72] [-0.20, 94.72] [-0.00, 95.72]
4.826221e+07 [-0.54, 83.33] [-0.34, 84.33] [-0.14, 85.33]
5.010529e+07 [-0.68, 73.06] [-0.48, 74.06] [-0.28, 75.06]
5.201875e+07 [-0.33, 62.74] [-0.13, 63.74] [0.07, 64.74]
5.400529e+07 [-0.43, 51.40] [-0.23, 52.40] [-0.03, 53.40]
5.606769e+07 [-0.48, 38.90] [-0.28, 39.90] [-0.08, 40.90]
5.820885e+07 [-0.44, 26.45] [-0.24, 27.45] [-0.04, 28.45]
6.043178e+07 [-0.40, 14.17] [-0.20, 15.17] [-0.00, 16.17]
6.273960e+07 [-0.53, 1.85] [-0.33, 2.85] [-0.13, 3.85]
6.513556e+07 [-0.37, -11.83] [-0.17, -10.83] [0.03, -9.83]
6.762301e+07 [-0.51, -25.69] [-0.31, -24.69] [-0.11, -23.69]
7.020545e+07 [-0.48, -41.04] [-0.28, -40.04] [-0.08, -39.04]
7.288652e+07 [-0.48, -55.83] [-0.28, -54.83] [-0.08, -53.83]
7.566997e+07 [-0.58, -72.02] [-0.38, -71.02] [-0.18, -70.02]
7.855972e+07 [-0.47, -88.09] [-0.27, -87.09] [-0.07, -86.09]
8.155983e+07 [-0.54, -105.50] [-0.34, -104.50] [-0.14, -103.50]
8.467450e+07 [-0.51, -123.01] [-0.31, -122.01] [-0.11, -121.01]
8.790813e+07 [-0.52, -141.83] [-0.32, -140.83] [-0.12, -139.83]
9.126524e+07 [-0.54, -160.47] [-0.34, -159.47] [-0.14, -158.47]
9.475055e+07 [-0.49, -179.98] [-0.29, -178.98] [-0.09, -177.98]
