FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.32, -44.51] [-0.12, -43.51] [0.08, -42.51]
1.038189e+07 [-0.32, -46.15] [-0.12, -45.15] [0.08, -44.15]
1.077836e+07 [-0.25, -46.33] [-0.05, -45.33] [0.15, -44.33]
1.118997e+07 [-0.52, -49.94] [-0.32, -48.94] [-0.12, -47.94]
1.161731e+07 [-0.34, -50.73] [-0.14, -49.73] [0.06, -48.73]
1.206096e+07 [-0.27, -52.82] [-0.07, -51.82] [0.13, -50.82]
1.252155e+07 [-0.26, -55.33] [-0.06, -54.33] [0.14, -53.33]
1.299974e+07 [-0.33, -56.51] [-0.13, -55.51] [0.07, -54.51]
1.349618e+07 [-0.27, -59.07] [-0.07, -58.07] [0.13, -57.07]
1.401158e+07 [-0.21, -61.33] [-0.01, -60.33] [0.19, -59.33]
1.454667e+07 [-0.36, -63.98] [-0.16, -62.98] [0.04, -61.98]
1.510219e+07 [-0.44, -65.41] [-0.24, -64.41] [-0.04, -63.41]
1.567893e+07 [-0.28, -68.83] [-0.08, -67.83] [0.12, -66.83]
1.627769e+07 [-0.35, -70.88] [-0.15, -69.88] [0.05, -68.88]
1.689931e+07 [-0.25, -73.36] [-0.05, -72.36] [0.15, -71.36]
1.754468e+07 [-0.28, -76.40] [-0.08, -75.40] [0.12, -74.40]
1.821469e+07 [-0.37, -79.07] [-0.17, -78.07] [0.03, -77.07]
1.891029e+07 [-0.34, -82.06] [-0.14, -81.06] [0.06, -80.06]
1.963245e+07 [-0.37, -85.79] [-0.17, -84.79] [0.03, -83.79]
2.038219e+07 [-0.33, -88.53] [-0.13, -87.53] [0.07, -86.53]
2.116056e+07 [-0.36, -91.65] [-0.16, -90.65] [0.04, -89.65]
2.196866e+07 [-0.35, -95.65] [-0.15, -94.65] [0.05, -93.65]
2.280762e+07 [-0.31, -98.79] [-0.11, -97.79] [0.09, -96.79]
2.367862e+07 [-0.32, -102.90] [-0.12, -101.90] [0.08, -100.90]
2.458288e+07 [-0.32, -106.57] [-0.12, -105.57] [0.08, -104.57]
2.552167e+07 [-0.33, -110.62] [-0.13, -109.62] [0.07, -108.62]
2.649631e+07 [-0.33, -114.93] [-0.13, -113.93] [0.07, -112.93]
2.750818e+07 [-0.34, -119.08] [-0.14, -118.08] [0.06, -117.08]
2.855868e+07 [-0.33, -123.62] [-0.13, -122.62] [0.07, -121.62]
2.964930e+07 [-0.31, -128.53] [-0.11, -127.53] [0.09, -126.53]
3.078158e+07 [-0.34, -133.00] [-0.14, -132.00] [0.06, -131.00]
3.195709e+07 [-0.35, -138.25] [-0.15, -137.25] [0.05, -136.25]
3.317750e+07 [-0.35, -143.46] [-0.15, -142.46] [0.05, -141.46]
3.444451e+07 [-0.36, -148.96] [-0.16, -147.96] [0.04, -146.96]
3.575990e+07 [-0.37, -154.35] [-0.17, -153.35] [0.03, -152.35]
3.712553e+07 [-0.36, -160.37] [-0.16, -159.37] [0.04, -158.37]
3.854331e+07 [-0.39, -166.32] [-0.19, -165.32] [0.01, -164.32]
4.001524e+07 [-0.40, -172.77] [-0.20, -171.77] [-0.00, -170.77]
4.154338e+07 [-0.39, -179.02] [-0.19, -178.02] [0.01, -177.02]
4.312987e+07 [-0.37, 174.00] [-0.17, 175.00] [0.03, 176.00]
4.477695e+07 [-0.36, 167.11] [-0.16, 168.11] [0.04, 169.11]
4.648693e+07 [-0.37, 159.48] [-0.17, 160.48] [0.03, 161.48]
4.826221e+07 [-0.36, 151.90] [-0.16, 152.90] [0.04, 153.90]
5.010529e+07 [-0.38, 144.01] [-0.18, 145.01] [0.02, 146.01]
5.201875e+07 [-0.41, 135.81] [-0.21, 136.81] [-0.01, 137.81]
5.400529e+07 [-0.39, 127.46] [-0.19, 128.46] [0.01, 129.46]
5.606769e+07 [-0.40, 118.61] [-0.20, 119.61] [0.00, 120.61]
5.820885e+07 [-0.42, 109.47] [-0.22, 110.47] [-0.02, 111.47]
6.043178e+07 [-0.36, 99.74] [-0.16, 100.74] [0.04, 101.74]
6.273960e+07 [-0.42, 89.84] [-0.22, 90.84] [-0.02, 91.84]
6.513556e+07 [-0.44, 79.68] [-0.24, 80.68] [-0.04, 81.68]
6.762301e+07 [-0.44, 69.05] [-0.24, 70.05] [-0.04, 71.05]
7.020545e+07 [-0.44, 58.23] [-0.24, 59.23] [-0.04, 60.23]
7.288652e+07 [-0.43, 46.60] [-0.23, 47.60] [-0.03, 48.60]
7.566997e+07 [-0.41, 34.75] [-0.21, 35.75] [-0.01, 36.75]
7.855972e+07 [-0.47, 22.37] [-0.27, 23.37] [-0.07, 24.37]
8.155983e+07 [-0.44, 9.50] [-0.24, 10.50] [-0.04, 11.50]
8.467450e+07 [-0.45, -3.91] [-0.25, -2.91] [-0.05, -1.91]
8.790813e+07 [-0.44, -17.69] [-0.24, -16.69] [-0.04, -15.69]
9.126524e+07 [-0.45, -32.00] [-0.25, -31.00] [-0.05, -30.00]
9.475055e+07 [-0.44, -46.87] [-0.24, -45.87] [-0.04, -44.87]
9.836897e+07 [-0.45, -62.40] [-0.25, -61.40] [-0.05, -60.40]
1.021256e+08 [-0.47, -78.29] [-0.27, -77.29] [-0.07, -76.29]
1.060256e+08 [-0.46, -95.15] [-0.26, -94.15] [-0.06, -93.15]
1.100746e+08 [-0.48, -112.47] [-0.28, -111.47] [-0.08, -110.47]
1.142782e+08 [-0.48, -130.43] [-0.28, -129.43] [-0.08, -128.43]
1.186424e+08 [-0.49, -148.97] [-0.29, -147.97] [-0.09, -146.97]
1.231732e+08 [-0.50, -168.35] [-0.30, -167.35] [-0.10, -166.35]
1.278771e+08 [-0.49, 171.48] [-0.29, 172.48] [-0.09, 173.48]
1.327605e+08 [-0.50, 150.56] [-0.30, 151.56] [-0.10, 152.56]
1.378305e+08 [-0.51, 128.96] [-0.31, 129.96] [-0.11, 130.96]
1.430941e+08 [-0.50, 106.43] [-0.30, 107.43] [-0.10, 108.43]
1.485587e+08 [-0.51, 83.12] [-0.31, 84.12] [-0.11, 85.12]
1.542320e+08 [-0.52, 58.87] [-0.32, 59.87] [-0.12, 60.87]
1.601219e+08 [-0.53, 33.63] [-0.33, 34.63] [-0.13, 35.63]
1.662368e+08 [-0.53, 7.53] [-0.33, 8.53] [-0.13, 9.53]
1.725852e+08 [-0.54, -19.65] [-0.34, -18.65] [-0.14, -17.65]
1.791760e+08 [-0.55, -47.75] [-0.35, -46.75] [-0.15, -45.75]
1.860186e+08 [-0.56, -77.03] [-0.36, -76.03] [-0.16, -75.03]
1.931224e+08 [-0.57, -107.40] [-0.37, -106.40] [-0.17, -105.40]
2.004975e+08 [-0.58, -138.84] [-0.38, -137.84] [-0.18, -136.84]
2.081543e+08 [-0.58, -171.61] [-0.38, -170.61] [-0.18, -169.61]
2.161035e+08 [-0.59, 154.47] [-0.39, 155.47] [-0.19, 156.47]
2.243562e+08 [-0.58, 119.17] [-0.38, 120.17] [-0.18, 121.17]
2.329241e+08 [-0.60, 82.56] [-0.40, 83.56] [-0.20, 84.56]
2.418192e+08 [-0.61, 44.52] [-0.41, 45.52] [-0.21, 46.52]
2.510540e+08 [-0.61, 5.09] [-0.41, 6.09] [-0.21, 7.09]
2.606415e+08 [-0.62, -35.85] [-0.42, -34.85] [-0.22, -33.85]
2.705951e+08 [-0.63, -78.43] [-0.43, -77.43] [-0.23, -76.43]
2.809288e+08 [-0.64, -122.54] [-0.44, -121.54] [-0.24, -120.54]
2.916571e+08 [-0.65, -168.34] [-0.45, -167.34] [-0.25, -166.34]
3.027952e+08 [-0.65, 144.06] [-0.45, 145.06] [-0.25, 146.06]
3.143586e+08 [-0.67, 94.67] [-0.47, 95.67] [-0.27, 96.67]
3.263636e+08 [-0.68, 43.35] [-0.48, 44.35] [-0.28, 45.35]
3.388271e+08 [-0.69, -9.87] [-0.49, -8.87] [-0.29, -7.87]
3.517665e+08 [-0.70, -65.14] [-0.50, -64.14] [-0.30, -63.14]
3.652000e+08 [-0.71, -122.49] [-0.51, -121.49] [-0.31, -120.49]
3.791466e+08 [-0.72, 178.00] [-0.52, 179.00] [-0.32, 180.00]
3.936258e+08 [-0.72, 116.10] [-0.52, 117.10] [-0.32, 118.10]
4.086579e+08 [-0.74, 51.88] [-0.54, 52.88] [-0.34, 53.88]
4.242641e+08 [-0.75, -14.78] [-0.55, -13.78] [-0.35, -12.78]
4.404662e+08 [-0.76, -83.91] [-0.56, -82.91] [-0.36, -81.91]
4.572871e+08 [-0.77, -155.71] [-0.57, -154.71] [-0.37, -153.71]
4.747504e+08 [-0.78, 129.65] [-0.58, 130.65] [-0.38, 131.65]
4.928806e+08 [-0.80, 52.24] [-0.60, 53.24] [-0.40, 54.24]
5.117031e+08 [-0.80, -28.10] [-0.60, -27.10] [-0.40, -26.10]
5.312445e+08 [-0.81, -111.59] [-0.61, -110.59] [-0.41, -109.59]
5.515321e+08 [-0.82, 161.79] [-0.62, 162.79] [-0.42, 163.79]
5.725945e+08 [-0.84, 71.86] [-0.64, 72.86] [-0.44, 73.86]
5.944612e+08 [-0.85, -21.52] [-0.65, -20.52] [-0.45, -19.52]
6.171630e+08 [-0.86, -118.49] [-0.66, -117.49] [-0.46, -116.49]
6.407317e+08 [-0.88, 140.86] [-0.68, 141.86] [-0.48, 142.86]
6.652006e+08 [-0.90, 36.41] [-0.70, 37.41] [-0.50, 38.41]
6.906038e+08 [-0.90, -72.07] [-0.70, -71.07] [-0.50, -70.07]
7.169772e+08 [-0.92, 175.30] [-0.72, 176.30] [-0.52, 177.30]
7.443577e+08 [-0.94, 58.42] [-0.74, 59.42] [-0.54, 60.42]
7.727839e+08 [-0.94, -62.90] [-0.74, -61.90] [-0.54, -60.90]
8.022956e+08 [-0.96, 171.08] [-0.76, 172.08] [-0.56, 173.08]
8.329344e+08 [-0.98, 40.33] [-0.78, 41.33] [-0.58, 42.33]
8.647432e+08 [-0.99, -95.53] [-0.79, -94.53] [-0.59, -93.53]
8.977667e+08 [-1.01, 123.45] [-0.81, 124.45] [-0.61, 125.45]
9.320514e+08 [-1.02, -22.89] [-0.82, -21.89] [-0.62, -20.89]
9.676454e+08 [-1.04, -174.91] [-0.84, -173.91] [-0.64, -172.91]
1.004599e+09 [-1.06, 27.37] [-0.86, 28.37] [-0.66, 29.37]
1.042963e+09 [-1.08, -136.40] [-0.88, -135.40] [-0.68, -134.40]
1.082793e+09 [-1.10, 53.56] [-0.90, 54.56] [-0.70, 55.56]
1.124143e+09 [-1.11, -122.99] [-0.91, -121.99] [-0.71, -120.99]
1.167073e+09 [-1.13, 53.77] [-0.93, 54.77] [-0.73, 55.77]
1.211642e+09 [-1.14, -136.57] [-0.94, -135.57] [-0.74, -134.57]
1.257913e+09 [-1.17, 25.95] [-0.97, 26.95] [-0.77, 27.95]
1.305952e+09 [-1.19, -179.14] [-0.99, -178.14] [-0.79, -177.14]
1.355825e+09 [-1.21, -32.08] [-1.01, -31.08] [-0.81, -30.08]
1.407602e+09 [-1.22, 106.99] [-1.02, 107.99] [-0.82, 108.99]
1.461357e+09 [-1.25, -122.56] [-1.05, -121.56] [-0.85, -120.56]
1.517164e+09 [-1.27, -0.79] [-1.07, 0.21] [-0.87, 1.21]
1.575103e+09 [-1.29, 111.83] [-1.09, 112.83] [-0.89, 113.83]
1.635254e+09 [-1.33, -144.95] [-1.13, -143.95] [-0.93, -142.95]
1.697703e+09 [-1.34, -51.49] [-1.14, -50.49] [-0.94, -49.49]
1.762536e+09 [-1.39, 31.76] [-1.19, 32.76] [-0.99, 33.76]
1.829845e+09 [-1.40, 104.53] [-1.20, 105.53] [-1.00, 106.53]
1.899725e+09 [-1.44, 166.37] [-1.24, 167.37] [-1.04, 168.37]
1.972273e+09 [-1.44, -143.51] [-1.24, -142.51] [-1.04, -141.51]
2.047592e+09 [-1.47, -104.88] [-1.27, -103.88] [-1.07, -102.88]
2.125787e+09 [-1.50, -78.77] [-1.30, -77.77] [-1.10, -76.77]
2.206969e+09 [-1.53, -65.29] [-1.33, -64.29] [-1.13, -63.29]
