FUNIT: Hz
UNIT: dB
1.000000e+07 [-70.16, 94.69] [-69.96, 95.69] [-69.76, 96.69]
1.038189e+07 [-63.74, 94.22] [-63.54, 95.22] [-63.34, 96.22]
1.077836e+07 [-72.63, 52.85] [-72.43, 53.85] [-72.23, 54.85]
1.118997e+07 [-74.40, -63.72] [-74.20, -62.72] [-74.00, -61.72]
1.161731e+07 [-77.01, -166.01] [-76.81, -165.01] [-76.61, -164.01]
1.206096e+07 [-72.04, 1.99] [-71.84, 2.99] [-71.64, 3.99]
1.252155e+07 [-88.81, -1.56] [-88.61, -0.56] [-88.41, 0.44]
1.299974e+07 [-69.57, 5.31] [-69.37, 6.31] [-69.17, 7.31]
1.349618e+07 [-71.26, -9.68] [-71.06, -8.68] [-70.86, -7.68]
1.401158e+07 [-74.51, -40.16] [-74.31, -39.16] [-74.11, -38.16]
1.454667e+07 [-71.21, -65.45] [-71.01, -64.45] [-70.81, -63.45]
1.510219e+07 [-79.92, -118.73] [-79.72, -117.73] [-79.52, -116.73]
1.567893e+07 [-68.07, -79.19] [-67.87, -78.19] [-67.67, -77.19]
1.627769e+07 [-66.19, -109.01] [-65.99, -108.01] [-65.79, -107.01]
1.689931e+07 [-69.49, -103.44] [-69.29, -102.44] [-69.09, -101.44]
1.754468e+07 [-67.43, -150.16] [-67.23, -149.16] [-67.03, -148.16]
1.821469e+07 [-67.94, -142.41] [-67.74, -141.41] [-67.54, -140.41]
1.891029e+07 [-66.84, -148.57] [-66.64, -147.57] [-66.44, -146.57]
1.963245e+07 [-65.01, -169.43] [-64.81, -168.43] [-64.61, -167.43]
2.038219e+07 [-64.24, -179.53] [-64.04, -178.53] [-63.84, -177.53]
2.116056e+07 [-64.20, 164.34] [-64.00, 165.34] [-63.80, 166.34]
2.196866e+07 [-62.91, 149.86] [-62.71, 150.86] [-62.51, 151.86]
2.280762e+07 [-61.46, 131.71] [-61.26, 132.71] [-61.06, 133.71]
2.367862e+07 [-60.83, 116.83] [-60.63, 117.83] [-60.43, 118.83]
2.458288e+07 [-60.63, 97.70] [-60.43, 98.70] [-60.23, 99.70]
2.552167e+07 [-60.13, 79.48] [-59.93, 80.48] [-59.73, 81.48]
2.649631e+07 [-59.33, 63.43] [-59.13, 64.43] [-58.93, 65.43]
2.750818e+07 [-58.44, 48.36] [-58.24, 49.36] [-58.04, 50.36]
2.855868e+07 [-57.67, 34.70] [-57.47, 35.70] [-57.27, 36.70]
2.964930e+07 [-56.95, 14.63] [-56.75, 15.63] [-56.55, 16.63]
3.078158e+07 [-56.16, -6.63] [-55.96, -5.63] [-55.76, -4.63]
3.195709e+07 [-55.96, -25.20] [-55.76, -24.20] [-55.56, -23.20]
3.317750e+07 [-55.03, -43.11] [-54.83, -42.11] [-54.63, -41.11]
3.444451e+07 [-54.66, -61.99] [-54.46, -60.99] [-54.26, -59.99]
3.575990e+07 [-53.52, -83.56] [-53.32, -82.56] [-53.12, -81.56]
3.712553e+07 [-53.06, -102.80] [-52.86, -101.80] [-52.66, -100.80]
3.854331e+07 [-52.48, -126.03] [-52.28, -125.03] [-52.08, -124.03]
4.001524e+07 [-51.66, -147.60] [-51.46, -146.60] [-51.26, -145.60]
4.154338e+07 [-51.19, -170.07] [-50.99, -169.07] [-50.79, -168.07]
4.312987e+07 [-50.56, 164.97] [-50.36, 165.97] [-50.16, 166.97]
4.477695e+07 [-49.92, 141.61] [-49.72, 142.61] [-49.52, 143.61]
4.648693e+07 [-49.09, 114.62] [-48.89, 115.62] [-48.69, 116.62]
4.826221e+07 [-48.64, 88.89] [-48.44, 89.89] [-48.24, 90.89]
5.010529e+07 [-47.99, 61.02] [-47.79, 62.02] [-47.59, 63.02]
5.201875e+07 [-47.44, 33.02] [-47.24, 34.02] [-47.04, 35.02]
5.400529e+07 [-46.97, 3.52] [-46.77, 4.52] [-46.57, 5.52]
5.606769e+07 [-46.36, -26.64] [-46.16, -25.64] [-45.96, -24.64]
5.820885e+07 [-45.80, -58.37] [-45.60, -57.37] [-45.40, -56.37]
6.043178e+07 [-45.19, -91.49] [-44.99, -90.49] [-44.79, -89.49]
6.273960e+07 [-44.68, -126.00] [-44.48, -125.00] [-44.28, -124.00]
6.513556e+07 [-44.30, -161.65] [-44.10, -160.65] [-43.90, -159.65]
6.762301e+07 [-43.75, 161.15] [-43.55, 162.15] [-43.35, 163.15]
7.020545e+07 [-43.41, 122.22] [-43.21, 123.22] [-43.01, 124.22]
7.288652e+07 [-43.07, 81.60] [-42.87, 82.60] [-42.67, 83.60]
