FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.35, -30.65] [-0.15, -29.65] [0.05, -28.65]
1.038189e+07 [-0.53, -35.35] [-0.33, -34.35] [-0.13, -33.35]
1.077836e+07 [-0.27, -29.79] [-0.07, -28.79] [0.13, -27.79]
1.118997e+07 [-0.12, -35.72] [0.08, -34.72] [0.28, -33.72]
1.161731e+07 [0.08, -37.79] [0.28, -36.79] [0.48, -35.79]
1.206096e+07 [-0.39, -37.48] [-0.19, -36.48] [0.01, -35.48]
1.252155e+07 [-0.21, -38.11] [-0.01, -37.11] [0.19, -36.11]
1.299974e+07 [-0.21, -41.80] [-0.01, -40.80] [0.19, -39.80]
1.349618e+07 [-0.39, -39.94] [-0.19, -38.94] [0.01, -37.94]
1.401158e+07 [-0.04, -43.22] [0.16, -42.22] [0.36, -41.22]
1.454667e+07 [-0.06, -44.53] [0.14, -43.53] [0.34, -42.53]
1.510219e+07 [-0.30, -48.04] [-0.10, -47.04] [0.10, -46.04]
1.567893e+07 [-0.09, -47.92] [0.11, -46.92] [0.31, -45.92]
1.627769e+07 [-0.41, -50.87] [-0.21, -49.87] [-0.01, -48.87]
1.689931e+07 [-0.19, -52.52] [0.01, -51.52] [0.21, -50.52]
1.754468e+07 [-0.29, -54.16] [-0.09, -53.16] [0.11, -52.16]
1.821469e+07 [0.12, -55.89] [0.32, -54.89] [0.52, -53.89]
1.891029e+07 [-0.55, -58.62] [-0.35, -57.62] [-0.15, -56.62]
1.963245e+07 [-0.40, -59.37] [-0.20, -58.37] [0.00, -57.37]
2.038219e+07 [-0.32, -62.54] [-0.12, -61.54] [0.08, -60.54]
2.116056e+07 [-0.33, -67.45] [-0.13, -66.45] [0.07, -65.45]
2.196866e+07 [-0.31, -67.41] [-0.11, -66.41] [0.09, -65.41]
2.280762e+07 [-0.38, -68.94] [-0.18, -67.94] [0.02, -66.94]
2.367862e+07 [-0.42, -72.92] [-0.22, -71.92] [-0.02, -70.92]
2.458288e+07 [-0.28, -75.70] [-0.08, -74.70] [0.12, -73.70]
2.552167e+07 [-0.44, -77.68] [-0.24, -76.68] [-0.04, -75.68]
2.649631e+07 [-0.55, -81.03] [-0.35, -80.03] [-0.15, -79.03]
2.750818e+07 [-0.27, -84.42] [-0.07, -83.42] [0.13, -82.42]
2.855868e+07 [-0.29, -87.84] [-0.09, -86.84] [0.11, -85.84]
2.964930e+07 [-0.28, -90.96] [-0.08, -89.96] [0.12, -88.96]
3.078158e+07 [-0.26, -94.78] [-0.06, -93.78] [0.14, -92.78]
3.195709e+07 [-0.50, -96.50] [-0.30, -95.50] [-0.10, -94.50]
3.317750e+07 [-0.17, -101.23] [0.03, -100.23] [0.23, -99.23]
3.444451e+07 [-0.23, -103.97] [-0.03, -102.97] [0.17, -101.97]
3.575990e+07 [-0.29, -109.71] [-0.09, -108.71] [0.11, -107.71]
3.712553e+07 [-0.31, -113.00] [-0.11, -112.00] [0.09, -111.00]
3.854331e+07 [-0.38, -117.17] [-0.18, -116.17] [0.02, -115.17]
4.001524e+07 [-0.28, -121.02] [-0.08, -120.02] [0.12, -119.02]
4.154338e+07 [-0.31, -125.96] [-0.11, -124.96] [0.09, -123.96]
4.312987e+07 [-0.33, -131.63] [-0.13, -130.63] [0.07, -129.63]
4.477695e+07 [-0.46, -135.70] [-0.26, -134.70] [-0.06, -133.70]
4.648693e+07 [-0.26, -141.74] [-0.06, -140.74] [0.14, -139.74]
4.826221e+07 [-0.27, -145.95] [-0.07, -144.95] [0.13, -143.95]
5.010529e+07 [-0.41, -151.81] [-0.21, -150.81] [-0.01, -149.81]
5.201875e+07 [-0.35, -157.53] [-0.15, -156.53] [0.05, -155.53]
5.400529e+07 [-0.31, -163.84] [-0.11, -162.84] [0.09, -161.84]
5.606769e+07 [-0.37, -170.04] [-0.17, -169.04] [0.03, -168.04]
5.820885e+07 [-0.32, -176.31] [-0.12, -175.31] [0.08, -174.31]
6.043178e+07 [-0.39, 176.98] [-0.19, 177.98] [0.01, 178.98]
6.273960e+07 [-0.39, 170.12] [-0.19, 171.12] [0.01, 172.12]
6.513556e+07 [-0.37, 162.67] [-0.17, 163.67] [0.03, 164.67]
6.762301e+07 [-0.38, 155.23] [-0.18, 156.23] [0.02, 157.23]
7.020545e+07 [-0.39, 147.41] [-0.19, 148.41] [0.01, 149.41]
7.288652e+07 [-0.39, 139.72] [-0.19, 140.72] [0.01, 141.72]
7.566997e+07 [-0.42, 131.11] [-0.22, 132.11] [-0.02, 133.11]
