FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.11, -65.75] [0.09, -64.75] [0.29, -63.75]
1.038189e+07 [0.06, -67.29] [0.26, -66.29] [0.46, -65.29]
1.077836e+07 [-0.24, -71.85] [-0.04, -70.85] [0.16, -69.85]
1.118997e+07 [-0.25, -71.04] [-0.05, -70.04] [0.15, -69.04]
1.161731e+07 [-0.59, -73.61] [-0.39, -72.61] [-0.19, -71.61]
1.206096e+07 [-0.41, -76.29] [-0.21, -75.29] [-0.01, -74.29]
1.252155e+07 [0.03, -81.24] [0.23, -80.24] [0.43, -79.24]
1.299974e+07 [-0.13, -86.44] [0.07, -85.44] [0.27, -84.44]
1.349618e+07 [-0.04, -87.92] [0.16, -86.92] [0.36, -85.92]
1.401158e+07 [-0.35, -90.14] [-0.15, -89.14] [0.05, -88.14]
1.454667e+07 [-0.17, -92.06] [0.03, -91.06] [0.23, -90.06]
1.510219e+07 [-0.39, -97.52] [-0.19, -96.52] [0.01, -95.52]
1.567893e+07 [-0.48, -101.76] [-0.28, -100.76] [-0.08, -99.76]
1.627769e+07 [-0.39, -101.00] [-0.19, -100.00] [0.01, -99.00]
1.689931e+07 [-0.24, -107.20] [-0.04, -106.20] [0.16, -105.20]
1.754468e+07 [-0.34, -113.83] [-0.14, -112.83] [0.06, -111.83]
1.821469e+07 [-0.20, -114.33] [0.00, -113.33] [0.20, -112.33]
1.891029e+07 [-0.43, -120.11] [-0.23, -119.11] [-0.03, -118.11]
1.963245e+07 [-0.39, -125.37] [-0.19, -124.37] [0.01, -123.37]
2.038219e+07 [-0.22, -131.15] [-0.02, -130.15] [0.18, -129.15]
2.116056e+07 [-0.28, -135.01] [-0.08, -134.01] [0.12, -133.01]
2.196866e+07 [-0.13, -140.12] [0.07, -139.12] [0.27, -138.12]
2.280762e+07 [-0.62, -146.69] [-0.42, -145.69] [-0.22, -144.69]
2.367862e+07 [-0.26, -150.41] [-0.06, -149.41] [0.14, -148.41]
2.458288e+07 [-0.31, -156.12] [-0.11, -155.12] [0.09, -154.12]
2.552167e+07 [-0.45, -163.37] [-0.25, -162.37] [-0.05, -161.37]
