FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.15, -58.03] [0.05, -57.03] [0.25, -56.03]
1.038189e+07 [-0.00, -59.13] [0.20, -58.13] [0.40, -57.13]
1.077836e+07 [-0.26, -62.82] [-0.06, -61.82] [0.14, -60.82]
1.118997e+07 [-0.28, -62.23] [-0.08, -61.23] [0.12, -60.23]
1.161731e+07 [-0.57, -64.74] [-0.37, -63.74] [-0.17, -62.74]
1.206096e+07 [-0.49, -66.42] [-0.29, -65.42] [-0.09, -64.42]
1.252155e+07 [0.05, -71.03] [0.25, -70.03] [0.45, -69.03]
1.299974e+07 [-0.17, -76.17] [0.03, -75.17] [0.23, -74.17]
1.349618e+07 [0.01, -77.41] [0.21, -76.41] [0.41, -75.41]
1.401158e+07 [-0.32, -78.68] [-0.12, -77.68] [0.08, -76.68]
1.454667e+07 [-0.19, -80.56] [0.01, -79.56] [0.21, -78.56]
1.510219e+07 [-0.40, -85.63] [-0.20, -84.63] [0.00, -83.63]
1.567893e+07 [-0.51, -89.53] [-0.31, -88.53] [-0.11, -87.53]
1.627769e+07 [-0.35, -88.42] [-0.15, -87.42] [0.05, -86.42]
1.689931e+07 [-0.25, -93.64] [-0.05, -92.64] [0.15, -91.64]
1.754468e+07 [-0.31, -99.95] [-0.11, -98.95] [0.09, -97.95]
1.821469e+07 [-0.25, -99.37] [-0.05, -98.37] [0.15, -97.37]
1.891029e+07 [-0.45, -104.76] [-0.25, -103.76] [-0.05, -102.76]
1.963245e+07 [-0.39, -110.10] [-0.19, -109.10] [0.01, -108.10]
2.038219e+07 [-0.20, -115.08] [0.00, -114.08] [0.20, -113.08]
2.116056e+07 [-0.26, -118.32] [-0.06, -117.32] [0.14, -116.32]
2.196866e+07 [-0.14, -122.71] [0.06, -121.71] [0.26, -120.71]
2.280762e+07 [-0.60, -128.73] [-0.40, -127.73] [-0.20, -126.73]
2.367862e+07 [-0.23, -132.01] [-0.03, -131.01] [0.17, -130.01]
2.458288e+07 [-0.29, -136.97] [-0.09, -135.97] [0.11, -134.97]
2.552167e+07 [-0.41, -143.28] [-0.21, -142.28] [-0.01, -141.28]
2.649631e+07 [-0.38, -146.82] [-0.18, -145.82] [0.02, -144.82]
