FUNIT: Hz
UNIT: dB
1.000000e+07 [-20.66, -75.00] [-20.46, -74.00] [-20.26, -73.00]
1.038189e+07 [-20.57, -77.48] [-20.37, -76.48] [-20.17, -75.48]
1.077836e+07 [-20.59, -79.19] [-20.39, -78.19] [-20.19, -77.19]
1.118997e+07 [-20.80, -83.77] [-20.60, -82.77] [-20.40, -81.77]
1.161731e+07 [-20.64, -85.60] [-20.44, -84.60] [-20.24, -83.60]
1.206096e+07 [-20.60, -89.57] [-20.40, -88.57] [-20.20, -87.57]
1.252155e+07 [-20.60, -93.30] [-20.40, -92.30] [-20.20, -91.30]
1.299974e+07 [-20.64, -96.02] [-20.44, -95.02] [-20.24, -94.02]
1.349618e+07 [-20.57, -99.79] [-20.37, -98.79] [-20.17, -97.79]
1.401158e+07 [-20.55, -103.86] [-20.35, -102.86] [-20.15, -101.86]
1.454667e+07 [-20.70, -108.12] [-20.50, -107.12] [-20.30, -106.12]
1.510219e+07 [-20.77, -111.05] [-20.57, -110.05] [-20.37, -109.05]
1.567893e+07 [-20.61, -116.03] [-20.41, -115.03] [-20.21, -114.03]
1.627769e+07 [-20.67, -120.18] [-20.47, -119.18] [-20.27, -118.18]
1.689931e+07 [-20.59, -124.70] [-20.39, -123.70] [-20.19, -122.70]
1.754468e+07 [-20.61, -129.32] [-20.41, -128.32] [-20.21, -127.32]
1.821469e+07 [-20.68, -133.99] [-20.48, -132.99] [-20.28, -131.99]
1.891029e+07 [-20.66, -139.27] [-20.46, -138.27] [-20.26, -137.27]
1.963245e+07 [-20.67, -145.21] [-20.47, -144.21] [-20.27, -143.21]
2.038219e+07 [-20.69, -150.24] [-20.49, -149.24] [-20.29, -148.24]
2.116056e+07 [-20.69, -155.65] [-20.49, -154.65] [-20.29, -153.65]
2.196866e+07 [-20.69, -161.99] [-20.49, -160.99] [-20.29, -159.99]
2.280762e+07 [-20.67, -167.57] [-20.47, -166.57] [-20.27, -165.57]
2.367862e+07 [-20.67, -174.65] [-20.47, -173.65] [-20.27, -172.65]
2.458288e+07 [-20.63, -180.87] [-20.43, -179.87] [-20.23, -178.87]
2.552167e+07 [-20.65, 172.42] [-20.45, 173.42] [-20.25, 174.42]
2.649631e+07 [-20.68, 165.10] [-20.48, 166.10] [-20.28, 167.10]
2.750818e+07 [-20.67, 157.90] [-20.47, 158.90] [-20.27, 159.90]
2.855868e+07 [-20.68, 150.12] [-20.48, 151.12] [-20.28, 152.12]
2.964930e+07 [-20.65, 142.03] [-20.45, 143.03] [-20.25, 144.03]
3.078158e+07 [-20.71, 134.19] [-20.51, 135.19] [-20.31, 136.19]
3.195709e+07 [-20.70, 125.38] [-20.50, 126.38] [-20.30, 127.38]
3.317750e+07 [-20.72, 116.41] [-20.52, 117.41] [-20.32, 118.41]
3.444451e+07 [-20.74, 107.13] [-20.54, 108.13] [-20.34, 109.13]
3.575990e+07 [-20.73, 97.83] [-20.53, 98.83] [-20.33, 99.83]
3.712553e+07 [-20.74, 87.72] [-20.54, 88.72] [-20.34, 89.72]
3.854331e+07 [-20.77, 77.57] [-20.57, 78.57] [-20.37, 79.57]
4.001524e+07 [-20.79, 66.63] [-20.59, 67.63] [-20.39, 68.63]
4.154338e+07 [-20.77, 55.76] [-20.57, 56.76] [-20.37, 57.76]
4.312987e+07 [-20.76, 44.08] [-20.56, 45.08] [-20.36, 46.08]
4.477695e+07 [-20.74, 32.18] [-20.54, 33.18] [-20.34, 34.18]
4.648693e+07 [-20.77, 19.49] [-20.57, 20.49] [-20.37, 21.49]
4.826221e+07 [-20.76, 6.59] [-20.56, 7.59] [-20.36, 8.59]
