FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.39, -68.42] [-0.19, -67.42] [0.01, -66.42]
1.038189e+07 [-0.38, -70.77] [-0.18, -69.77] [0.02, -68.77]
1.077836e+07 [-0.36, -72.31] [-0.16, -71.31] [0.04, -70.31]
1.118997e+07 [-0.62, -76.73] [-0.42, -75.73] [-0.22, -74.73]
1.161731e+07 [-0.43, -77.93] [-0.23, -76.93] [-0.03, -75.93]
1.206096e+07 [-0.33, -81.65] [-0.13, -80.65] [0.07, -79.65]
1.252155e+07 [-0.34, -85.02] [-0.14, -84.02] [0.06, -83.02]
1.299974e+07 [-0.40, -87.62] [-0.20, -86.62] [-0.00, -85.62]
1.349618e+07 [-0.32, -91.24] [-0.12, -90.24] [0.08, -89.24]
1.401158e+07 [-0.28, -94.77] [-0.08, -93.77] [0.12, -92.77]
1.454667e+07 [-0.47, -98.48] [-0.27, -97.48] [-0.07, -96.48]
1.510219e+07 [-0.53, -101.12] [-0.33, -100.12] [-0.13, -99.12]
1.567893e+07 [-0.39, -105.94] [-0.19, -104.94] [0.01, -103.94]
1.627769e+07 [-0.43, -109.40] [-0.23, -108.40] [-0.03, -107.40]
1.689931e+07 [-0.33, -113.75] [-0.13, -112.75] [0.07, -111.75]
1.754468e+07 [-0.37, -118.00] [-0.17, -117.00] [0.03, -116.00]
1.821469e+07 [-0.44, -122.03] [-0.24, -121.03] [-0.04, -120.03]
1.891029e+07 [-0.41, -127.03] [-0.21, -126.03] [-0.01, -125.03]
1.963245e+07 [-0.44, -132.50] [-0.24, -131.50] [-0.04, -130.50]
2.038219e+07 [-0.43, -137.01] [-0.23, -136.01] [-0.03, -135.01]
2.116056e+07 [-0.42, -141.67] [-0.22, -140.67] [-0.02, -139.67]
2.196866e+07 [-0.46, -147.64] [-0.26, -146.64] [-0.06, -145.64]
2.280762e+07 [-0.43, -152.72] [-0.23, -151.72] [-0.03, -150.72]
2.367862e+07 [-0.43, -159.04] [-0.23, -158.04] [-0.03, -157.04]
2.458288e+07 [-0.41, -164.83] [-0.21, -163.83] [-0.01, -162.83]
2.552167e+07 [-0.43, -170.98] [-0.23, -169.98] [-0.03, -168.98]
2.649631e+07 [-0.44, -177.63] [-0.24, -176.63] [-0.04, -175.63]
2.750818e+07 [-0.43, 175.89] [-0.23, 176.89] [-0.03, 177.89]
2.855868e+07 [-0.43, 168.77] [-0.23, 169.77] [-0.03, 170.77]
2.964930e+07 [-0.41, 161.24] [-0.21, 162.24] [-0.01, 163.24]
3.078158e+07 [-0.47, 154.12] [-0.27, 155.12] [-0.07, 156.12]
3.195709e+07 [-0.45, 146.18] [-0.25, 147.18] [-0.05, 148.18]
3.317750e+07 [-0.46, 137.99] [-0.26, 138.99] [-0.06, 139.99]
3.444451e+07 [-0.48, 129.48] [-0.28, 130.48] [-0.08, 131.48]
3.575990e+07 [-0.48, 121.10] [-0.28, 122.10] [-0.08, 123.10]
3.712553e+07 [-0.49, 111.80] [-0.29, 112.80] [-0.09, 113.80]
3.854331e+07 [-0.51, 102.55] [-0.31, 103.55] [-0.11, 104.55]
4.001524e+07 [-0.53, 92.59] [-0.33, 93.59] [-0.13, 94.59]
4.154338e+07 [-0.51, 82.74] [-0.31, 83.74] [-0.11, 84.74]
4.312987e+07 [-0.50, 72.04] [-0.30, 73.04] [-0.10, 74.04]
4.477695e+07 [-0.49, 61.26] [-0.29, 62.26] [-0.09, 63.26]
4.648693e+07 [-0.51, 49.63] [-0.31, 50.63] [-0.11, 51.63]
4.826221e+07 [-0.50, 37.81] [-0.30, 38.81] [-0.10, 39.81]
5.010529e+07 [-0.53, 25.63] [-0.33, 26.63] [-0.13, 27.63]
5.201875e+07 [-0.56, 12.87] [-0.36, 13.87] [-0.16, 14.87]
5.400529e+07 [-0.53, -0.13] [-0.33, 0.87] [-0.13, 1.87]
5.606769e+07 [-0.54, -13.81] [-0.34, -12.81] [-0.14, -11.81]
5.820885e+07 [-0.57, -27.99] [-0.37, -26.99] [-0.17, -25.99]
6.043178e+07 [-0.51, -42.94] [-0.31, -41.94] [-0.11, -40.94]
6.273960e+07 [-0.58, -58.25] [-0.38, -57.25] [-0.18, -56.25]
6.513556e+07 [-0.59, -74.07] [-0.39, -73.07] [-0.19, -72.07]
6.762301e+07 [-0.59, -90.53] [-0.39, -89.53] [-0.19, -88.53]
7.020545e+07 [-0.61, -107.53] [-0.41, -106.53] [-0.21, -105.53]
7.288652e+07 [-0.59, -125.46] [-0.39, -124.46] [-0.19, -123.46]
7.566997e+07 [-0.59, -143.78] [-0.39, -142.78] [-0.19, -141.78]
7.855972e+07 [-0.65, -163.00] [-0.45, -162.00] [-0.25, -161.00]
8.155983e+07 [-0.62, 177.10] [-0.42, 178.10] [-0.22, 179.10]
8.467450e+07 [-0.64, 156.37] [-0.44, 157.37] [-0.24, 158.37]
8.790813e+07 [-0.63, 135.00] [-0.43, 136.00] [-0.23, 137.00]
9.126524e+07 [-0.64, 112.77] [-0.44, 113.77] [-0.24, 114.77]
9.475055e+07 [-0.64, 89.66] [-0.44, 90.66] [-0.24, 91.66]
9.836897e+07 [-0.65, 65.69] [-0.45, 66.69] [-0.25, 67.69]
1.021256e+08 [-0.67, 40.94] [-0.47, 41.94] [-0.27, 42.94]
1.060256e+08 [-0.67, 14.89] [-0.47, 15.89] [-0.27, 16.89]
1.100746e+08 [-0.69, -11.96] [-0.49, -10.96] [-0.29, -9.96]
1.142782e+08 [-0.69, -39.81] [-0.49, -38.81] [-0.29, -37.81]
1.186424e+08 [-0.71, -68.57] [-0.51, -67.57] [-0.31, -66.57]
1.231732e+08 [-0.72, -98.67] [-0.52, -97.67] [-0.32, -96.67]
1.278771e+08 [-0.72, -129.84] [-0.52, -128.84] [-0.32, -127.84]
1.327605e+08 [-0.73, -162.26] [-0.53, -161.26] [-0.33, -160.26]
1.378305e+08 [-0.75, 164.24] [-0.55, 165.24] [-0.35, 166.24]
1.430941e+08 [-0.75, 129.34] [-0.55, 130.34] [-0.35, 131.34]
1.485587e+08 [-0.76, 93.19] [-0.56, 94.19] [-0.36, 95.19]
1.542320e+08 [-0.77, 55.61] [-0.57, 56.61] [-0.37, 57.61]
1.601219e+08 [-0.79, 16.55] [-0.59, 17.55] [-0.39, 18.55]
1.662368e+08 [-0.79, -23.93] [-0.59, -22.93] [-0.39, -21.93]
1.725852e+08 [-0.81, -66.01] [-0.61, -65.01] [-0.41, -64.01]
1.791760e+08 [-0.82, -109.59] [-0.62, -108.59] [-0.42, -107.59]
1.860186e+08 [-0.83, -154.94] [-0.63, -153.94] [-0.43, -152.94]
1.931224e+08 [-0.85, 157.98] [-0.65, 158.98] [-0.45, 159.98]
2.004975e+08 [-0.87, 109.18] [-0.67, 110.18] [-0.47, 111.18]
2.081543e+08 [-0.87, 58.44] [-0.67, 59.44] [-0.47, 60.44]
2.161035e+08 [-0.89, 5.87] [-0.69, 6.87] [-0.49, 7.87]
2.243562e+08 [-0.89, -48.82] [-0.69, -47.82] [-0.49, -46.82]
2.329241e+08 [-0.91, -105.56] [-0.71, -104.56] [-0.51, -103.56]
2.418192e+08 [-0.93, -164.49] [-0.73, -163.49] [-0.53, -162.49]
2.510540e+08 [-0.94, 134.40] [-0.74, 135.40] [-0.54, 136.40]
2.606415e+08 [-0.96, 70.95] [-0.76, 71.95] [-0.56, 72.95]
2.705951e+08 [-0.97, 5.00] [-0.77, 6.00] [-0.57, 7.00]
2.809288e+08 [-0.98, -63.39] [-0.78, -62.39] [-0.58, -61.39]
2.916571e+08 [-1.00, -134.39] [-0.80, -133.39] [-0.60, -132.39]
3.027952e+08 [-1.02, 151.88] [-0.82, 152.88] [-0.62, 153.88]
3.143586e+08 [-1.04, 75.36] [-0.84, 76.36] [-0.64, 77.36]
3.263636e+08 [-1.05, -4.14] [-0.85, -3.14] [-0.65, -2.14]
3.388271e+08 [-1.07, -86.62] [-0.87, -85.62] [-0.67, -84.62]
3.517665e+08 [-1.08, -172.27] [-0.88, -171.27] [-0.68, -170.27]
3.652000e+08 [-1.10, 98.81] [-0.90, 99.81] [-0.70, 100.81]
3.791466e+08 [-1.12, 6.51] [-0.92, 7.51] [-0.72, 8.51]
3.936258e+08 [-1.13, -89.35] [-0.93, -88.35] [-0.73, -87.35]
4.086579e+08 [-1.16, 171.19] [-0.96, 172.19] [-0.76, 173.19]
4.242641e+08 [-1.18, 67.87] [-0.98, 68.87] [-0.78, 69.87]
4.404662e+08 [-1.19, -39.32] [-0.99, -38.32] [-0.79, -37.32]
4.572871e+08 [-1.21, -150.62] [-1.01, -149.62] [-0.81, -148.62]
4.747504e+08 [-1.23, 93.82] [-1.03, 94.82] [-0.83, 95.82]
4.928806e+08 [-1.25, -26.18] [-1.05, -25.18] [-0.85, -24.18]
5.117031e+08 [-1.27, -150.74] [-1.07, -149.74] [-0.87, -148.74]
5.312445e+08 [-1.29, 79.92] [-1.09, 80.92] [-0.89, 81.92]
5.515321e+08 [-1.31, -54.27] [-1.11, -53.27] [-0.91, -52.27]
5.725945e+08 [-1.33, 166.38] [-1.13, 167.38] [-0.93, 168.38]
5.944612e+08 [-1.35, 21.67] [-1.15, 22.67] [-0.95, 23.67]
6.171630e+08 [-1.37, -128.59] [-1.17, -127.59] [-0.97, -126.59]
6.407317e+08 [-1.40, 75.47] [-1.20, 76.47] [-1.00, 77.47]
6.652006e+08 [-1.42, -86.43] [-1.22, -85.43] [-1.02, -84.43]
6.906038e+08 [-1.45, 105.50] [-1.25, 106.50] [-1.05, 107.50]
7.169772e+08 [-1.47, -68.98] [-1.27, -67.98] [-1.07, -66.98]
7.443577e+08 [-1.49, 109.83] [-1.29, 110.83] [-1.09, 111.83]
7.727839e+08 [-1.52, -78.25] [-1.32, -77.25] [-1.12, -76.25]
8.022956e+08 [-1.54, 86.57] [-1.34, 87.57] [-1.14, 88.57]
8.329344e+08 [-1.56, -116.13] [-1.36, -115.13] [-1.16, -114.13]
