FUNIT: Hz
UNIT: dB
1.000000e+07 [-20.63, -86.10] [-20.43, -85.10] [-20.23, -84.10]
1.038189e+07 [-20.64, -89.57] [-20.44, -88.57] [-20.24, -87.57]
1.077836e+07 [-20.61, -91.25] [-20.41, -90.25] [-20.21, -89.25]
1.118997e+07 [-20.86, -96.49] [-20.66, -95.49] [-20.46, -94.49]
1.161731e+07 [-20.64, -98.61] [-20.44, -97.61] [-20.24, -96.61]
1.206096e+07 [-20.64, -103.09] [-20.44, -102.09] [-20.24, -101.09]
1.252155e+07 [-20.63, -107.61] [-20.43, -106.61] [-20.23, -105.61]
1.299974e+07 [-20.65, -110.82] [-20.45, -109.82] [-20.25, -108.82]
1.349618e+07 [-20.59, -115.33] [-20.39, -114.33] [-20.19, -113.33]
1.401158e+07 [-20.55, -119.64] [-20.35, -118.64] [-20.15, -117.64]
1.454667e+07 [-20.73, -124.52] [-20.53, -123.52] [-20.33, -122.52]
1.510219e+07 [-20.78, -128.10] [-20.58, -127.10] [-20.38, -126.10]
1.567893e+07 [-20.63, -133.87] [-20.43, -132.87] [-20.23, -131.87]
1.627769e+07 [-20.68, -138.50] [-20.48, -137.50] [-20.28, -136.50]
1.689931e+07 [-20.61, -143.73] [-20.41, -142.73] [-20.21, -141.73]
1.754468e+07 [-20.62, -149.31] [-20.42, -148.31] [-20.22, -147.31]
1.821469e+07 [-20.69, -154.60] [-20.49, -153.60] [-20.29, -152.60]
1.891029e+07 [-20.68, -160.65] [-20.48, -159.65] [-20.28, -158.65]
1.963245e+07 [-20.72, -167.34] [-20.52, -166.34] [-20.32, -165.34]
2.038219e+07 [-20.72, -173.29] [-20.52, -172.29] [-20.32, -171.29]
2.116056e+07 [-20.70, -179.40] [-20.50, -178.40] [-20.30, -177.40]
2.196866e+07 [-20.72, 173.29] [-20.52, 174.29] [-20.32, 175.29]
2.280762e+07 [-20.68, 166.61] [-20.48, 167.61] [-20.28, 168.61]
2.367862e+07 [-20.68, 158.97] [-20.48, 159.97] [-20.28, 160.97]
2.458288e+07 [-20.68, 151.41] [-20.48, 152.41] [-20.28, 153.41]
2.552167e+07 [-20.70, 143.49] [-20.50, 144.49] [-20.30, 145.49]
2.649631e+07 [-20.71, 135.15] [-20.51, 136.15] [-20.31, 137.15]
2.750818e+07 [-20.70, 126.86] [-20.50, 127.86] [-20.30, 128.86]
2.855868e+07 [-20.71, 117.95] [-20.51, 118.95] [-20.31, 119.95]
2.964930e+07 [-20.68, 108.42] [-20.48, 109.42] [-20.28, 110.42]
3.078158e+07 [-20.75, 99.45] [-20.55, 100.45] [-20.35, 101.45]
3.195709e+07 [-20.74, 89.29] [-20.54, 90.29] [-20.34, 91.29]
3.317750e+07 [-20.76, 78.96] [-20.56, 79.96] [-20.36, 80.96]
3.444451e+07 [-20.77, 68.27] [-20.57, 69.27] [-20.37, 70.27]
3.575990e+07 [-20.77, 57.55] [-20.57, 58.55] [-20.37, 59.55]
3.712553e+07 [-20.77, 45.78] [-20.57, 46.78] [-20.37, 47.78]
3.854331e+07 [-20.80, 34.04] [-20.60, 35.04] [-20.40, 36.04]
4.001524e+07 [-20.83, 21.44] [-20.63, 22.44] [-20.43, 23.44]
4.154338e+07 [-20.80, 8.99] [-20.60, 9.99] [-20.40, 10.99]
4.312987e+07 [-20.80, -4.45] [-20.60, -3.45] [-20.40, -2.45]
4.477695e+07 [-20.80, -18.25] [-20.60, -17.25] [-20.40, -16.25]
4.648693e+07 [-20.80, -32.94] [-20.60, -31.94] [-20.40, -30.94]
4.826221e+07 [-20.80, -47.82] [-20.60, -46.82] [-20.40, -45.82]
5.010529e+07 [-20.83, -63.27] [-20.63, -62.27] [-20.43, -61.27]
5.201875e+07 [-20.87, -79.46] [-20.67, -78.46] [-20.47, -77.46]
