FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.37, -60.57] [-0.17, -59.57] [0.03, -58.57]
1.038189e+07 [-0.37, -62.59] [-0.17, -61.59] [0.03, -60.59]
1.077836e+07 [-0.30, -63.55] [-0.10, -62.55] [0.10, -61.55]
1.118997e+07 [-0.58, -67.71] [-0.38, -66.71] [-0.18, -65.71]
1.161731e+07 [-0.42, -68.83] [-0.22, -67.83] [-0.02, -66.83]
1.206096e+07 [-0.35, -71.96] [-0.15, -70.96] [0.05, -69.96]
1.252155e+07 [-0.38, -75.37] [-0.18, -74.37] [0.02, -73.37]
1.299974e+07 [-0.39, -77.46] [-0.19, -76.46] [0.01, -75.46]
1.349618e+07 [-0.32, -80.52] [-0.12, -79.52] [0.08, -78.52]
1.401158e+07 [-0.27, -83.52] [-0.07, -82.52] [0.13, -81.52]
1.454667e+07 [-0.45, -87.08] [-0.25, -86.08] [-0.05, -85.08]
1.510219e+07 [-0.52, -89.40] [-0.32, -88.40] [-0.12, -87.40]
1.567893e+07 [-0.36, -93.70] [-0.16, -92.70] [0.04, -91.70]
1.627769e+07 [-0.42, -96.62] [-0.22, -95.62] [-0.02, -94.62]
1.689931e+07 [-0.31, -100.43] [-0.11, -99.43] [0.09, -98.43]
1.754468e+07 [-0.35, -104.19] [-0.15, -103.19] [0.05, -102.19]
1.821469e+07 [-0.41, -107.83] [-0.21, -106.83] [-0.01, -105.83]
1.891029e+07 [-0.41, -112.08] [-0.21, -111.08] [-0.01, -110.08]
1.963245e+07 [-0.43, -116.98] [-0.23, -115.98] [-0.03, -114.98]
2.038219e+07 [-0.41, -120.96] [-0.21, -119.96] [-0.01, -118.96]
2.116056e+07 [-0.42, -125.15] [-0.22, -124.15] [-0.02, -123.15]
2.196866e+07 [-0.43, -130.26] [-0.23, -129.26] [-0.03, -128.26]
2.280762e+07 [-0.37, -134.90] [-0.17, -133.90] [0.03, -132.90]
2.367862e+07 [-0.41, -140.50] [-0.21, -139.50] [-0.01, -138.50]
2.458288e+07 [-0.39, -145.59] [-0.19, -144.59] [0.01, -143.59]
2.552167e+07 [-0.39, -150.99] [-0.19, -149.99] [0.01, -148.99]
2.649631e+07 [-0.43, -156.94] [-0.23, -155.94] [-0.03, -154.94]
2.750818e+07 [-0.42, -162.54] [-0.22, -161.54] [-0.02, -160.54]
2.855868e+07 [-0.42, -168.89] [-0.22, -167.89] [-0.02, -166.89]
2.964930e+07 [-0.40, -175.63] [-0.20, -174.63] [0.00, -173.63]
3.078158e+07 [-0.44, 178.25] [-0.24, 179.25] [-0.04, 180.25]
3.195709e+07 [-0.42, 171.07] [-0.22, 172.07] [-0.02, 173.07]
3.317750e+07 [-0.44, 163.90] [-0.24, 164.90] [-0.04, 165.90]
3.444451e+07 [-0.47, 156.50] [-0.27, 157.50] [-0.07, 158.50]
