FUNIT: Hz
UNIT: dB
1.000000e+07 [-20.62, -78.37] [-20.42, -77.37] [-20.22, -76.37]
1.038189e+07 [-20.58, -81.34] [-20.38, -80.34] [-20.18, -79.34]
1.077836e+07 [-20.56, -83.21] [-20.36, -82.21] [-20.16, -81.21]
1.118997e+07 [-20.83, -87.66] [-20.63, -86.66] [-20.43, -85.66]
1.161731e+07 [-20.66, -89.27] [-20.46, -88.27] [-20.26, -87.27]
1.206096e+07 [-20.63, -93.67] [-20.43, -92.67] [-20.23, -91.67]
1.252155e+07 [-20.58, -97.80] [-20.38, -96.80] [-20.18, -95.80]
1.299974e+07 [-20.64, -100.78] [-20.44, -99.78] [-20.24, -98.78]
1.349618e+07 [-20.59, -104.61] [-20.39, -103.61] [-20.19, -102.61]
1.401158e+07 [-20.55, -108.77] [-20.35, -107.77] [-20.15, -106.77]
1.454667e+07 [-20.70, -113.22] [-20.50, -112.22] [-20.30, -111.22]
1.510219e+07 [-20.77, -116.18] [-20.57, -115.18] [-20.37, -114.18]
1.567893e+07 [-20.60, -121.45] [-20.40, -120.45] [-20.20, -119.45]
1.627769e+07 [-20.68, -125.72] [-20.48, -124.72] [-20.28, -123.72]
1.689931e+07 [-20.59, -130.48] [-20.39, -129.48] [-20.19, -128.48]
1.754468e+07 [-20.61, -135.55] [-20.41, -134.55] [-20.21, -133.55]
1.821469e+07 [-20.71, -140.60] [-20.51, -139.60] [-20.31, -138.60]
1.891029e+07 [-20.68, -145.84] [-20.48, -144.84] [-20.28, -143.84]
1.963245e+07 [-20.71, -151.84] [-20.51, -150.84] [-20.31, -149.84]
2.038219e+07 [-20.69, -157.39] [-20.49, -156.39] [-20.29, -155.39]
2.116056e+07 [-20.67, -162.88] [-20.47, -161.88] [-20.27, -160.88]
2.196866e+07 [-20.67, -169.51] [-20.47, -168.51] [-20.27, -167.51]
2.280762e+07 [-20.66, -175.45] [-20.46, -174.45] [-20.26, -173.45]
2.367862e+07 [-20.68, 177.30] [-20.48, 178.30] [-20.28, 179.30]
