FUNIT: Hz
UNIT: dB
9.676454e+08 [-0.61, 156.11] [-0.41, 157.11] [-0.21, 158.11]
1.004599e+09 [-0.62, 120.99] [-0.42, 121.99] [-0.22, 122.99]
1.042963e+09 [-0.63, 84.45] [-0.43, 85.45] [-0.23, 86.45]
1.082793e+09 [-0.63, 46.47] [-0.43, 47.47] [-0.23, 48.47]
1.124143e+09 [-0.63, 7.10] [-0.43, 8.10] [-0.23, 9.10]
1.167073e+09 [-0.64, -33.80] [-0.44, -32.80] [-0.24, -31.80]
1.211642e+09 [-0.66, -76.32] [-0.46, -75.32] [-0.26, -74.32]
1.257913e+09 [-0.66, -120.42] [-0.46, -119.42] [-0.26, -118.42]
1.305952e+09 [-0.67, -166.17] [-0.47, -165.17] [-0.27, -164.17]
1.355825e+09 [-0.68, 146.31] [-0.48, 147.31] [-0.28, 148.31]
1.407602e+09 [-0.69, 96.99] [-0.49, 97.99] [-0.29, 98.99]
1.461357e+09 [-0.71, 45.85] [-0.51, 46.85] [-0.31, 47.85]
1.517164e+09 [-0.72, -7.29] [-0.52, -6.29] [-0.32, -5.29]
1.575103e+09 [-0.72, -62.52] [-0.52, -61.52] [-0.32, -60.52]
1.635254e+09 [-0.73, -119.85] [-0.53, -118.85] [-0.33, -117.85]
1.697703e+09 [-0.75, -179.35] [-0.55, -178.35] [-0.35, -177.35]
1.762536e+09 [-0.76, 118.98] [-0.56, 119.98] [-0.36, 120.98]
1.829845e+09 [-0.77, 54.93] [-0.57, 55.93] [-0.37, 56.93]
1.899725e+09 [-0.79, -11.44] [-0.59, -10.44] [-0.39, -9.44]
1.972273e+09 [-0.78, -80.71] [-0.58, -79.71] [-0.38, -78.71]
2.000000e+09 [-0.80, -152.55] [-0.60, -151.55] [-0.40, -150.55]
2.000000e+09 [-0.82, 61.81] [-0.62, 62.81] [-0.42, 63.81]
2.125787e+09 [-0.84, -18.34] [-0.64, -17.34] [-0.44, -16.34]
2.206969e+09 [-0.88, -101.21] [-0.68, -100.21] [-0.48, -99.21]
2.291250e+09 [-0.87, 172.87] [-0.67, 173.87] [-0.47, 174.87]
2.378751e+09 [-0.90, 82.79] [-0.70, 83.79] [-0.50, 84.79]
2.469592e+09 [-0.89, -11.03] [-0.69, -10.03] [-0.49, -9.03]
2.563903e+09 [-0.85, -106.94] [-0.65, -105.94] [-0.45, -104.94]
2.661816e+09 [-0.90, 154.23] [-0.70, 155.23] [-0.50, 156.23]
2.763468e+09 [-0.91, 49.99] [-0.71, 50.99] [-0.51, 51.99]
2.869001e+09 [-0.94, -58.19] [-0.74, -57.19] [-0.54, -56.19]
2.978565e+09 [-0.97, -170.60] [-0.77, -169.60] [-0.57, -168.60]
3.092313e+09 [-0.97, 72.83] [-0.77, 73.83] [-0.57, 74.83]
3.210405e+09 [-1.00, -47.74] [-0.80, -46.74] [-0.60, -45.74]
3.333007e+09 [-1.00, -173.21] [-0.80, -172.21] [-0.60, -171.21]
3.460290e+09 [-1.01, 56.48] [-0.81, 57.48] [-0.61, 58.48]
3.592435e+09 [-1.04, -78.80] [-0.84, -77.80] [-0.64, -76.80]
3.729626e+09 [-1.04, 140.75] [-0.84, 141.75] [-0.64, 142.75]
3.872056e+09 [-1.04, -4.94] [-0.84, -3.94] [-0.64, -2.94]
4.019925e+09 [-1.10, -156.25] [-0.90, -155.25] [-0.70, -154.25]
4.173442e+09 [-1.06, 46.68] [-0.86, 47.68] [-0.66, 48.68]
4.332821e+09 [-1.11, -116.22] [-0.91, -115.22] [-0.71, -114.22]
4.498286e+09 [-1.12, 74.42] [-0.92, 75.42] [-0.72, 76.42]
4.670071e+09 [-1.11, -101.36] [-0.91, -100.36] [-0.71, -99.36]
4.848415e+09 [-1.14, 76.12] [-0.94, 77.12] [-0.74, 78.12]
5.033571e+09 [-1.18, -113.21] [-0.98, -112.21] [-0.78, -111.21]
5.225797e+09 [-1.21, 50.01] [-1.01, 51.01] [-0.81, 52.01]
5.425364e+09 [-1.20, -154.10] [-1.00, -153.10] [-0.80, -152.10]
5.632553e+09 [-1.24, -5.96] [-1.04, -4.96] [-0.84, -3.96]
5.847653e+09 [-1.27, 133.68] [-1.07, 134.68] [-0.87, 135.68]
6.000000e+09 [-1.31, -94.36] [-1.11, -93.36] [-0.91, -92.36]
6.000000e+09 [-0.95, 166.97] [-0.75, 167.97] [-0.55, 168.97]
6.302812e+09 [-0.97, 36.70] [-0.77, 37.70] [-0.57, 38.70]
6.543509e+09 [-0.96, -100.37] [-0.76, -99.37] [-0.56, -98.37]
6.793398e+09 [-0.96, 119.92] [-0.76, 120.92] [-0.56, 121.92]
7.052830e+09 [-0.96, -27.26] [-0.76, -26.26] [-0.56, -25.26]
7.322170e+09 [-0.96, -179.35] [-0.76, -178.35] [-0.56, -177.35]
7.601795e+09 [-0.97, 22.63] [-0.77, 23.63] [-0.57, 24.63]
7.892099e+09 [-1.01, -141.43] [-0.81, -140.43] [-0.61, -139.43]
8.193489e+09 [-1.02, 47.94] [-0.82, 48.94] [-0.62, 49.94]
8.506389e+09 [-1.01, -128.82] [-0.81, -127.82] [-0.61, -126.82]
8.831239e+09 [-1.01, 47.42] [-0.81, 48.42] [-0.61, 49.42]
9.168493e+09 [-0.99, -142.85] [-0.79, -141.85] [-0.59, -140.85]
9.518628e+09 [-1.02, 19.87] [-0.82, 20.87] [-0.62, 21.87]
